sample_id	filename	source_identity	split	caption	caption_source	caption_word_count	event_count	duration_frames_120fps	duration_frames_20fps_est	package	category	take_name	take_actor	take_date	actor_uid	is_mirror	move_soma_uniform_path	shape_path	temporal_events_json	role	used_for	limitations
soma30k_00018	chefs_kiss_R_002__A238	230302|chefs_kiss_R_002|A238|chefs_kiss_R_002__A238	train	perform the chef's kiss, a gesture of appreciation	content_natural_desc_1	8	1	322	53	Communication	Gestures	chefs_kiss_R_002	A238	230302	A238	False	soma_uniform/bvh/230302/chefs_kiss_R_002__A238.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":2.6,""description"":""The person standing in a normal stance facing forward performs a chef's kiss with their right hand.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00020	dance_hiphop_stick_n_roll_dancehall_R_fast_002__A318	230413|dance_hiphop_stick_n_roll_dancehall_R_fast_002|A318|dance_hiphop_stick_n_roll_dancehall_R_fast_002__A318	train	perform a quick stick n roll hip-hop dance on bent legs	content_natural_desc_1	12	1	459	76	Dances	Dancing	dance_hiphop_stick_n_roll_dancehall_R_fast_002	A318	230413	A318	False	soma_uniform/bvh/230413/dance_hiphop_stick_n_roll_dancehall_R_fast_002__A318.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":3.75,""description"":""A person quickly performs a hip-hop stick and roll dancehall step and stands.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00021	sitting_legs_bend_arms_back_start_003__A047	221010|sitting_legs_bend_arms_back_start_R_003|A047|sitting_legs_bend_arms_back_start_003__A047	train	transition from standing to sitting on the floor with bent legs and arms supporting at the back	content_natural_desc_1	17	1	429	71	Locomotion	Basic Locomotion Neutral	sitting_legs_bend_arms_back_start_R_003	A047	221010	A047	False	soma_uniform/bvh/221010/sitting_legs_bend_arms_back_start_003__A047.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":3.5,""description"":""A person sits on the ground with their legs bent and arms back.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00022	jog_ff_loop_225_003__A094	230102|jog_ff_loop_225_R_003|A094|jog_ff_loop_225_003__A094	train	person jogs diagonally forward to the right	content_natural_desc_1	7	1	384	64	Locomotion	Basic Locomotion Neutral	jog_ff_loop_225_R_003	A094	230102	A094	False	soma_uniform/bvh/230102/jog_ff_loop_225_003__A094.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":3.1,""description"":""A person jogs forward toward the right diagonal at a fast pace.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00024	dance_hiphop_janet_R_fast_001__A319	230413|dance_hiphop_janet_R_fast_001|A319|dance_hiphop_janet_R_fast_001__A319	train	person energetically sway left to right dancing to fast hip hop music	content_natural_desc_1	12	1	633	105	Dances	Dancing	dance_hiphop_janet_R_fast_001	A319	230413	A319	False	soma_uniform/bvh/230413/dance_hiphop_janet_R_fast_001__A319.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":5.2,""description"":""A person standing upright quickly sways left to right while performing hip hop dance.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00025	body_stretch_2_001__A037	220727|body_stretch_opt_2_001|A037|body_stretch_2_001__A037	train	perform a bend forward with straight legs in a single, fluid movement	content_natural_desc_1	12	1	1097	182	Sport	Sports	body_stretch_opt_2_001	A037	220727	A037	False	soma_uniform/bvh/220727/body_stretch_2_001__A037.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":9.05,""description"":""A person bends over and extends their hands towards the ground, straining to touch it. Their head is slightly turned to the right.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00026	sit_cross_legged_stop_002__A160	230131|sit_cross_legged_stop_R_002|A160|sit_cross_legged_stop_002__A160	train	from a sitting position with crossed legs, stand up with the right foot first	content_natural_desc_1	14	1	660	110	Locomotion	Basic Locomotion Neutral	sit_cross_legged_stop_R_002	A160	230131	A160	False	soma_uniform/bvh/230131/sit_cross_legged_stop_002__A160.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":5.4,""description"":""A person sitting on the ground with their legs crossed gets up steadily.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00027	injured_torso_jog_ff_start_315_R_001__A231	230301|injured_torso_jog_ff_start_315_R_001|A231|injured_torso_jog_ff_start_315_R_001__A231	train	person with injured torso begins a slow jog diagonally	content_natural_desc_1	9	1	696	116	Locomotion	Basic Locomotion Styles	injured_torso_jog_ff_start_315_R_001	A231	230301	A231	False	soma_uniform/bvh/230301/injured_torso_jog_ff_start_315_R_001__A231.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":5.7,""description"":""A person with an injured torso slowly jogs to their right back diagonal.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00029	jump_ff_270_103__A207	230217|jump_ff_270_R_103|A207|jump_ff_270_103__A207	train	a short jump to the right from a standing position	content_natural_desc_1	10	1	335	55	Locomotion	Baseline	jump_ff_270_R_103	A207	230217	A207	False	soma_uniform/bvh/230217/jump_ff_270_103__A207.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":2.7,""description"":""A person makes a quick horizontal jump toward their right side.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00030	crawl_ff_loop_360_R_002__A232	230301|crawl_ff_loop_360_R_002|A232|crawl_ff_loop_360_R_002__A232	train	person crawls backward over their right shoulder	content_natural_desc_1	7	1	1013	168	Gaming	Unusual Locomotion	crawl_ff_loop_360_R_002	A232	230301	A232	False	soma_uniform/bvh/230301/crawl_ff_loop_360_R_002__A232.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":8.35,""description"":""A person prone to the ground is crawling backwards steadily.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00033	jump_forward_003__A031	220720|jump_ff_180_R_003|A031|jump_forward_003__A031	train	jumping forward from a standing position	content_natural_desc_1	6	1	698	116	Locomotion	Baseline	jump_ff_180_R_003	A031	220720	A031	False	soma_uniform/bvh/220720/jump_forward_003__A031.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":5.75,""description"":""The person swiftly takes a jump forward with their right foot.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00034	dance_vouge_shake_it_babe_360_R_002__A324	230414|dance_vogue_shake_it_babe_360_R_002|A324|dance_vouge_shake_it_babe_360_R_002__A324	train	vogue dance move called 'shake it babe' facing backward	content_natural_desc_1	9	1	663	110	Dances	Dancing	dance_vogue_shake_it_babe_360_R_002	A324	230414	A324	False	soma_uniform/bvh/230414/dance_vouge_shake_it_babe_360_R_002__A324.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":5.15,""description"":""A person is performing a vogue dance, doing the quick shake it, babe move and walking backward while facing forward.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00035	walk_ff_loop_225_004__A174	230209|walk_ff_loop_225_R_004|A174|walk_ff_loop_225_004__A174	train	walk diagonally forward, starting with the left foot crossing over	content_natural_desc_1	10	1	454	75	Locomotion	Basic Locomotion Neutral	walk_ff_loop_225_R_004	A174	230209	A174	False	soma_uniform/bvh/230209/walk_ff_loop_225_004__A174.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":3.7,""description"":""A person is steadily walking forward in a right diagonal direction by taking moderate steps.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00036	sitting_legs_bend_arms_front_stop_001__A098	230103|sitting_legs_bend_arms_front_stop_R_001|A098|sitting_legs_bend_arms_front_stop_001__A098	train	transitions from sitting on the floor with bent legs and arms on knees to standing	content_natural_desc_1	15	1	423	70	Locomotion	Basic Locomotion Neutral	sitting_legs_bend_arms_front_stop_R_001	A098	230103	A098	False	soma_uniform/bvh/230103/sitting_legs_bend_arms_front_stop_001__A098.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":3.45,""description"":""A person sitting gets up and stands upright.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00037	walk_hands_on_back_loop_001__A055	221012|walk_hands_on_back_180_loop_R_001|A055|walk_hands_on_back_loop_001__A055	train	person walks forward while keeping their hands behind their back	content_natural_desc_1	10	1	548	91	Locomotion	Basic Locomotion Neutral	walk_hands_on_back_180_loop_R_001	A055	221012	A055	False	soma_uniform/bvh/221012/walk_hands_on_back_loop_001__A055.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":4.5,""description"":""A person is steadily walking forward with their hands on their back while looking around casually.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00038	sitting_legs_bend_arms_front_stop_003__A188	230213|sitting_legs_bend_arms_front_stop_R_003|A188|sitting_legs_bend_arms_front_stop_003__A188	train	transitions from sitting on the floor with bent legs and arms on knees to standing	content_natural_desc_1	15	1	341	56	Locomotion	Basic Locomotion Neutral	sitting_legs_bend_arms_front_stop_R_003	A188	230213	A188	False	soma_uniform/bvh/230213/sitting_legs_bend_arms_front_stop_003__A188.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.05,""end_time"":2.75,""description"":""A person sitting gets up and stands upright.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00039	walk_ff_loop_270_R_002__A257	230308|walk_ff_loop_270_R_002|A257|walk_ff_loop_270_R_002__A257	train	tired person is taking side steps to the right	content_natural_desc_1	9	1	1078	179	Locomotion	Basic Locomotion Neutral	walk_ff_loop_270_R_002	A257	230308	A257	False	soma_uniform/bvh/230308/walk_ff_loop_270_R_002__A257.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":8.9,""description"":""A person is walking sideways in the right direction at a medium pace in a crisscross manner.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00040	chefs_kiss_R_001__A237	230302|chefs_kiss_R_001|A237|chefs_kiss_R_001__A237	train	perform the chef's kiss, a gesture of appreciation	content_natural_desc_1	8	1	353	58	Communication	Gestures	chefs_kiss_R_001	A237	230302	A237	False	soma_uniform/bvh/230302/chefs_kiss_R_001__A237.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":2.85,""description"":""A person gives a chef's kiss with the right hand while standing, facing forward.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00041	jump_ff_180_R_003__A338	230419|jump_ff_180_R_003|A338|jump_ff_180_R_003__A338	train	jumping forward from a standing position	content_natural_desc_1	6	1	446	74	Locomotion	Baseline	jump_ff_180_R_003	A338	230419	A338	False	soma_uniform/bvh/230419/jump_ff_180_R_003__A338.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":3.65,""description"":""The person swiftly takes a jump forward with their right foot.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00046	dance_vouge_butterfly_step_270_R_fast_002__A319	230413|dance_vogue_butterfly_step_270_R_fast_002|A319|dance_vouge_butterfly_step_270_R_fast_002__A319	train	perform a fast vogue dance butterfly step turning to the right	content_natural_desc_1	11	1	561	93	Dances	Dancing	dance_vogue_butterfly_step_270_R_fast_002	A319	230413	A319	False	soma_uniform/bvh/230413/dance_vouge_butterfly_step_270_R_fast_002__A319.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":4.7,""description"":""A person is quickly performing the vogue butterfly dance while raising arms and stepping multiple times.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00047	dance_hiphop_2_step_270_R_003__A312	230412|dance_hiphop_2_step_270_R_003|A312|dance_hiphop_2_step_270_R_003__A312	train	a 100 bpm side step to the right and back	content_natural_desc_1	10	1	777	129	Dances	Dancing	dance_hiphop_2_step_270_R_003	A312	230412	A312	False	soma_uniform/bvh/230412/dance_hiphop_2_step_270_R_003__A312.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":6.4,""description"":""A person dances energetically, swinging their arms and moving their legs before standing still.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00048	walk_hands_on_back_loop_003__A062	221116|walk_hands_on_back_180_loop_R_003|A062|walk_hands_on_back_loop_003__A062	train	person walks forward while keeping their hands behind their back	content_natural_desc_1	10	1	468	78	Locomotion	Basic Locomotion Neutral	walk_hands_on_back_180_loop_R_003	A062	221116	A062	False	soma_uniform/bvh/221116/walk_hands_on_back_loop_003__A062.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":3.8,""description"":""A person is steadily walking forward with their hands on their back while looking around casually.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00049	jump_ff_180_R_003__A287	230320|jump_ff_180_R_003|A287|jump_ff_180_R_003__A287	train	jumping forward from a standing position	content_natural_desc_1	6	1	369	61	Locomotion	Baseline	jump_ff_180_R_003	A287	230320	A287	False	soma_uniform/bvh/230320/jump_ff_180_R_003__A287.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":3.0,""description"":""The person swiftly takes a jump forward with their right foot.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00050	jog_ff_loop_315_002__A094	230102|jog_ff_loop_315_R_002|A094|jog_ff_loop_315_002__A094	train	person jogs backward right diagonally with a cross of the left foot	content_natural_desc_1	12	1	424	70	Locomotion	Basic Locomotion Neutral	jog_ff_loop_315_R_002	A094	230102	A094	False	soma_uniform/bvh/230102/jog_ff_loop_315_002__A094.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":3.45,""description"":""A person is jogging in the right back diagonal at a fast pace.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00052	jump_ff_270_R_003__A313	230412|jump_ff_270_R_003|A313|jump_ff_270_R_003__A313	train	a short jump to the right from a standing position	content_natural_desc_1	10	1	262	43	Locomotion	Baseline	jump_ff_270_R_003	A313	230412	A313	False	soma_uniform/bvh/230412/jump_ff_270_R_003__A313.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":2.1,""description"":""A person makes a quick horizontal jump toward their right side.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00055	inj_right_leg_walk_180_R_001__A074	221128|injured_R_leg_idle_001|A074|inj_right_leg_walk_180_R_001__A074	train	person stands on an injured right leg maintaining medium energy levels	content_natural_desc_1	11	1	1196	199	Locomotion	Basic Locomotion Styles	injured_R_leg_idle_001	A074	221128	A074	False	soma_uniform/bvh/221128/inj_right_leg_walk_180_R_001__A074.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":9.9,""description"":""The person is standing with the injured right leg.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00056	ladder_climbing_down_loop_R_103__A301	230323|ladder_climbing_down_symmetrical_loop_R_103|A301|ladder_climbing_down_loop_R_103__A301	train	climbing down a ladder symmetrically	content_natural_desc_1	5	1	413	68	Locomotion	Stunts	ladder_climbing_down_symmetrical_loop_R_103	A301	230323	A301	False	soma_uniform/bvh/230323/ladder_climbing_down_loop_R_103__A301.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":3.466667,""description"":""A person descends a ladder steadily while holding the ladder.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00057	sitting_legs_cross_arm_side_stop_003__A164	230201|sitting_legs_crossed_arm_side_stop_R_003|A164|sitting_legs_cross_arm_side_stop_003__A164	train	rise up from a seated position with legs tucked, one arm propped to the side	content_natural_desc_1	15	1	517	86	Locomotion	Basic Locomotion Neutral	sitting_legs_crossed_arm_side_stop_R_003	A164	230201	A164	False	soma_uniform/bvh/230201/sitting_legs_cross_arm_side_stop_003__A164.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":4.25,""description"":""A person sitting cross-legged on the ground stands upright with the support of their right arm and left leg.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00058	come_up_50cm_box_R_003__A053	221012|come_up_50cm_box_R_003|A053|come_up_50cm_box_R_003__A053	train	step up on a box using hands for support, starting with right foot and ending with left	content_natural_desc_1	17	1	509	84	Locomotion	Baseline	come_up_50cm_box_R_003	A053	221012	A053	False	soma_uniform/bvh/221012/come_up_50cm_box_R_003__A053.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":4.15,""description"":""A person standing on the ground steps up on a raised platform and stands still, facing forward.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00060	sit_on_heels_stop_003__A040	220727|sit_on_heels_stop_R_003|A040|sit_on_heels_stop_003__A040	train	person gets up from sitting on their heels	content_natural_desc_1	8	1	434	72	Locomotion	Basic Locomotion Neutral	sit_on_heels_stop_R_003	A040	220727	A040	False	soma_uniform/bvh/220727/sit_on_heels_stop_003__A040.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":3.55,""description"":""A person sitting on their knees gets up and stands idle, facing forward.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
soma30k_00062	run_loop_180_R_001__A333	230418|run_loop_180_R_001|A333|run_loop_180_R_001__A333	train	a sprint forward is carried out	content_natural_desc_2	6	1	258	43	Locomotion	Advanced Locomotion	run_loop_180_R_001	A333	230418	A333	False	soma_uniform/bvh/230418/run_loop_180_R_001__A333.bvh	soma_shapes/soma_base_fit_mhr_params.npz	"[{""start_time"":0.0,""end_time"":2.166667,""description"":""A person is running forward rapidly before coming to a stop while swaying their arms.""}]"	diagnostic_dataset_selection	training_manifest_preparation	metadata_selected;motion_feature_conversion_not_validated;not_final_evaluator
