prompt_id	sample_id	event_id	event_order	prompt_type	prompt	source_event_text	condition_pair	role	used_for	limitations
p1evt_3_forward_back_forward__event_03__single	p1evt_3_forward_back_forward	p1evt_3_forward_back_forward__event_03	3	single_event	a person continues walking forward.	continues walking forward	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_4_turn_steps_sit_return__event_01__single	p1evt_4_turn_steps_sit_return	p1evt_4_turn_steps_sit_return__event_01	1	single_event	a person turns to the left.	turns to left	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_4_turn_steps_sit_return__event_02__single	p1evt_4_turn_steps_sit_return	p1evt_4_turn_steps_sit_return__event_02	2	single_event	a person takes three steps forward.	takes three steps forward	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_4_turn_steps_sit_return__event_03__single	p1evt_4_turn_steps_sit_return	p1evt_4_turn_steps_sit_return__event_03	3	single_event	a person sits down.	sits down	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_4_turn_steps_sit_return__event_04__single	p1evt_4_turn_steps_sit_return	p1evt_4_turn_steps_sit_return__event_04	4	single_event	a person walks back to the starting place.	walks back to starting place	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_4_jump_lr_return_jump__event_01__single	p1evt_4_jump_lr_return_jump	p1evt_4_jump_lr_return_jump__event_01	1	single_event	a person jumps to the right.	jumps to the right	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_4_jump_lr_return_jump__event_02__single	p1evt_4_jump_lr_return_jump	p1evt_4_jump_lr_return_jump__event_02	2	single_event	a person jumps to the left.	jumps to the left	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_4_jump_lr_return_jump__event_03__single	p1evt_4_jump_lr_return_jump	p1evt_4_jump_lr_return_jump__event_03	3	single_event	a person turns around and walks back to the start.	turns around and walks back to the start	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_4_jump_lr_return_jump__event_04__single	p1evt_4_jump_lr_return_jump	p1evt_4_jump_lr_return_jump__event_04	4	single_event	a person jumps once again.	jumping once again	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_5_step_bow_turn_bow_turn__event_01__single	p1evt_5_step_bow_turn_bow_turn	p1evt_5_step_bow_turn_bow_turn__event_01	1	single_event	a man steps forward.	steps forward	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_5_step_bow_turn_bow_turn__event_02__single	p1evt_5_step_bow_turn_bow_turn	p1evt_5_step_bow_turn_bow_turn__event_02	2	single_event	a man bows.	bows	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_5_step_bow_turn_bow_turn__event_03__single	p1evt_5_step_bow_turn_bow_turn	p1evt_5_step_bow_turn_bow_turn__event_03	3	single_event	a man turns to his right.	turns to his right	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_5_step_bow_turn_bow_turn__event_04__single	p1evt_5_step_bow_turn_bow_turn	p1evt_5_step_bow_turn_bow_turn__event_04	4	single_event	a man bows again.	bows again	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_5_step_bow_turn_bow_turn__event_05__single	p1evt_5_step_bow_turn_bow_turn	p1evt_5_step_bow_turn_bow_turn__event_05	5	single_event	a man turns once again to his right.	turns once again to his right	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_5_stand_jog_fast_stop_squat__event_01__single	p1evt_5_stand_jog_fast_stop_squat	p1evt_5_stand_jog_fast_stop_squat__event_01	1	single_event	from a squat, a person stands up.	from a squat a person stands up	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_5_stand_jog_fast_stop_squat__event_02__single	p1evt_5_stand_jog_fast_stop_squat	p1evt_5_stand_jog_fast_stop_squat__event_02	2	single_event	a person jogs slowly in place.	jogs slowly in place	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_5_stand_jog_fast_stop_squat__event_03__single	p1evt_5_stand_jog_fast_stop_squat	p1evt_5_stand_jog_fast_stop_squat__event_03	3	single_event	a person jogs faster in place.	then faster	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_5_stand_jog_fast_stop_squat__event_04__single	p1evt_5_stand_jog_fast_stop_squat	p1evt_5_stand_jog_fast_stop_squat__event_04	4	single_event	a person stops.	stops	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
p1evt_5_stand_jog_fast_stop_squat__event_05__single	p1evt_5_stand_jog_fast_stop_squat	p1evt_5_stand_jog_fast_stop_squat__event_05	5	single_event	a person backs up and squats again.	backs up and squats again	full/single_event	diagnostic	single_event_transfer_probe	single_event_prompt_is_manual;compare_to_full_prompt_trace_only_as_diagnostic
