path	source_url	title	venue	original_bytes	compressed_bytes	current_bytes
obsidian-vault/paperPDFs/SIGGRAPH_2024/Efficient_Position_based_Deformable_Colon_Modeling_for_Endoscopic_Procedures_Simulation.pdf	https://www.inf.ufrgs.br/vislab/sig24/	Efficient Position-based Deformable Colon Modeling for Endoscopic Procedures Simulation	SIGGRAPH 2024	80943807	639250	639250
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/Mixed_Variational_Finite_Elements_for_Implicit_Simulation_of_Deformables.pdf	https://doi.org/10.1145/3550469.3555418	Mixed Variational Finite Elements for Implicit Simulation of Deformables	SIGGRAPH ASIA 2022	80383930	653230	653230
obsidian-vault/paperPDFs/TOG_2022/DeepPhase_periodic_autoencoders_for_learning_motion_phase_manifolds.pdf	https://doi.org/10.1145/3528223.3530178	DeepPhase: periodic autoencoders for learning motion phase manifolds	TOG 2022	78681518	920628	920628
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/MIPNet_Neural_Normal_to_Anisotropic_Roughness_MIP_mapping.pdf	https://perso.telecom-paristech.fr/boubek/papers/MIPNet/	MIPNet: Neural Normal-to-Anisotropic-Roughness MIP mapping	SIGGRAPH ASIA 2022	75044786	2036418	2036418
obsidian-vault/paperPDFs/SIGGRAPH_2024/Proxy_Tracing_Unbiased_Reciprocal_Estimation_for_Optimized_Sampling_in_BDPT.pdf	https://doi.org/10.1145/3658216	Proxy Tracing: Unbiased Reciprocal Estimation for Optimized Sampling in BDPT	SIGGRAPH 2024	74949824	1807583	1807583
obsidian-vault/paperPDFs/SIGGRAPH_2024/Learning_Images_Across_Scales_Using_Adversarial_Training.pdf	https://doi.org/10.1145/3658190	Learning Images Across Scales Using Adversarial Training	SIGGRAPH 2024	74902575	4580202	4580202
obsidian-vault/paperPDFs/SIGGRAPH_2024/LightFormer_Light_oriented_Global_Neural_Rendering_in_Dynamic_Scene.pdf	https://doi.org/10.1145/3658229	LightFormer: Light-oriented Global Neural Rendering in Dynamic Scene	SIGGRAPH 2024	74454711	1528379	1528379
obsidian-vault/paperPDFs/SIGGRAPH_2026/The_Antipodal_Method_Fast_Accurate_and_Robust_3D_Generalized_Winding_Numbers.pdf	https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_570&sess=sess149	The Antipodal Method: Fast, Accurate, and Robust 3D Generalized Winding Numbers	SIGGRAPH 2026	73623287	3809324	3809324
obsidian-vault/paperPDFs/SIGGRAPH_2026/Complex_Valued_Holographic_Radiance_Fields.pdf	https://s2026.conference-schedule.org/?post_type=page&p=15&id=paperstog_133&sess=sess132	Complex-Valued Holographic Radiance Fields	SIGGRAPH 2026	70892817	4074490	4074490
obsidian-vault/paperPDFs/SIGGRAPH_2023/Deep_Appearance_Prefiltering.pdf	http://civc.ucsb.edu/graphics/Papers/TOG2022_DAP/	Deep Appearance Prefiltering	SIGGRAPH 2023	70716290	2134381	2134381
obsidian-vault/paperPDFs/SIGGRAPH_2022/VEMPIC_Particle_in_polyhedron_Fluid_Simulation_for_Intricate_Solid_Boundaries.pdf	https://www.dgp.toronto.edu/projects/vempic/	VEMPIC: Particle-in-polyhedron Fluid Simulation for Intricate Solid Boundaries	SIGGRAPH 2022	69421561	1287317	1287317
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/Stochastic_Poisson_Surface_Reconstruction.pdf	https://www.dgp.toronto.edu/projects/stochastic-psr/	Stochastic Poisson Surface Reconstruction	SIGGRAPH ASIA 2022	67561254	3060909	3060909
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/BSDF_importance_sampling_using_a_diffusion_model.pdf	https://fzy28.github.io/BSDF_diffusion_sampling_web/	BSDF importance sampling using a diffusion model	SIGGRAPH ASIA 2024	67191202	1461004	1461004
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Curly_Cue_Geometric_Methods_for_Highly_Coiled_Hair.pdf	https://www.cs.yale.edu/homes/wu-haomiao/publication/curlyCue.html	Curly-Cue: Geometric Methods for Highly Coiled Hair	SIGGRAPH ASIA 2024	66305549	870000	870000
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/Text2Light_Zero_shot_Text_driven_HDR_Panorama_Generation.pdf	https://frozenburning.github.io/projects/text2light/	Text2Light: Zero-shot Text-driven HDR Panorama Generation	SIGGRAPH ASIA 2022	64535435	2334664	2334664
obsidian-vault/paperPDFs/SIGGRAPH_2022/Rendering_Neural_Materials_on_Curved_Surfaces.pdf	https://cseweb.ucsd.edu/~viscomp/projects/CurvedNeuralMaterials/	Rendering Neural Materials on Curved Surfaces	SIGGRAPH 2022	64194792	1083545	1083545
obsidian-vault/paperPDFs/WHITEPAPER_2025/Cosmos_Transfer2_5_World_Simulation_With_Video_Foundation_Models_for_Physical_AI.pdf	https://d1qx31qr3h6wln.cloudfront.net/publications/World_Simulation_with_Video_Foundation_Models_for_Physical_AI.pdf	Cosmos-Transfer2.5: World Simulation With Video Foundation Models for Physical AI	WHITEPAPER 2025	63930434	2025413	2025413
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/Green_Coordinates_for_Triquad_Cages_in_3D.pdf	https://perso.telecom-paristech.fr/boubek/papers/QGC/	Green Coordinates for Triquad Cages in 3D	SIGGRAPH ASIA 2022	63621354	568566	568566
obsidian-vault/paperPDFs/SIGGRAPH_2025/Deformable_Beta_Splatting.pdf	https://openreview.net/pdf?id=676a6a4678	Deformable Beta Splatting	SIGGRAPH 2025	63388082	940706	940706
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/OLAT_Gaussians_for_Generic_Relightable_Appearance_Acquisition.pdf	https://musinghead.github.io/projects/olat_gaussians/	OLAT Gaussians for Generic Relightable Appearance Acquisition	SIGGRAPH ASIA 2024	61981045	431361	431361
obsidian-vault/paperPDFs/SIGGRAPH_2023/Pyramid_Texture_Filtering.pdf	https://rewindl.github.io/pyramid_texture_filtering/	Pyramid Texture Filtering	SIGGRAPH 2023	59931554	2755355	2755355
obsidian-vault/paperPDFs/SIGGRAPH_2022/MatFormer_A_Generative_Model_for_Procedural_Materials.pdf	https://paulguerrero.net/matformer/	MatFormer: A Generative Model for Procedural Materials	SIGGRAPH 2022	59736416	759231	759231
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/UniColor_A_Unified_Framework_for_Multi_Modal_Colorization_with_Transformer.pdf	https://luckyhzt.github.io/unicolor	UniColor: A Unified Framework for Multi-Modal Colorization with Transformer	SIGGRAPH ASIA 2022	57690003	1377952	1377952
obsidian-vault/paperPDFs/SIGGRAPH_2022/Position_free_Multiple_bounce_Computations_for_Smith_Microfacet_BSDFs.pdf	https://wangningbei.github.io/2022/MBBRDF.html	Position-free Multiple-bounce Computations for Smith Microfacet BSDFs	SIGGRAPH 2022	57167674	2206487	2206487
obsidian-vault/paperPDFs/SIGGRAPH_2023/Example_based_Procedural_Modeling_Using_Graph_Grammars.pdf	https://paulmerrell.org/grammar/	Example-based Procedural Modeling Using Graph Grammars	SIGGRAPH 2023	57095114	1217279	1217279
obsidian-vault/paperPDFs/SIGGRAPH_2023/Fluid_Cohomology.pdf	https://yhesper.github.io/fc23/fc23.html	Fluid Cohomology	SIGGRAPH 2023	57084156	1719546	1719546
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Computational_Design_of_a_Kit_of_Parts_for_Bending_Active_Structures.pdf	https://udaykusupati.github.io/publications/kop/kop/	Computational Design of a Kit of Parts for Bending Active Structures	SIGGRAPH ASIA 2024	57049395	2264075	2264075
obsidian-vault/paperPDFs/SIGGRAPH_2023/Min_Deviation_Flow_in_Bi_directed_Graphs_for_T_Mesh_Quantization.pdf	https://www.algohex.eu/publications/bimdf-quantization/	Min-Deviation-Flow in Bi-directed Graphs for T-Mesh Quantization	SIGGRAPH 2023	56531411	1028426	1028426
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/StableNormal_Reducing_Diffusion_Variance_for_Stable_and_Sharp_Normal.pdf	https://stable-x.github.io/StableNormal/	StableNormal: Reducing Diffusion Variance for Stable and Sharp Normal	SIGGRAPH ASIA 2024	55387464	1765080	1765080
obsidian-vault/paperPDFs/SIGGRAPH_2026/ShapeUP_Scalable_Image_Conditioned_3D_Editing.pdf	https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_381&sess=sess151	ShapeUP: Scalable Image-Conditioned 3D Editing	SIGGRAPH 2026	54943888	2204039	2204039
obsidian-vault/paperPDFs/SIGGRAPH_2025/TeGA_Texture_Space_Gaussian_Avatars_for_High_Resolution_Dynamic_Head_Modeling.pdf	https://openreview.net/pdf?id=3e70ed34eb	TeGA: Texture Space Gaussian Avatars for High-Resolution Dynamic Head Modeling	SIGGRAPH 2025	54690592	849764	849764
obsidian-vault/paperPDFs/SIGGRAPH_2023/Beyond_Chainmail_Computational_Modeling_of_Discrete_Interlocking_Materials.pdf	https://tangpengbin.github.io/publications/DIM/DIM.html	Beyond Chainmail: Computational Modeling of Discrete Interlocking Materials	SIGGRAPH 2023	54357172	703011	703011
obsidian-vault/paperPDFs/SIGGRAPH_2022/ComplexGen_CAD_Reconstruction_by_B_rep_Chain_Complex_Generation.pdf	https://haopan.github.io/complexgen.html	ComplexGen: CAD Reconstruction by B-rep Chain Complex Generation	SIGGRAPH 2022	54260855	1520581	1520581
obsidian-vault/paperPDFs/SIGGRAPH_2025/Noise_Coded_Illumination_for_Forensic_and_Photometric_Video_Analysis.pdf	https://openreview.net/pdf?id=edb90fdc8e	Noise-Coded Illumination for Forensic and Photometric Video Analysis	SIGGRAPH 2025	54208153	1930588	1930588
obsidian-vault/paperPDFs/SIGGRAPH_2022/Scalable_Neural_Indoor_Scene_Rendering.pdf	https://xchaowu.github.io/papers/scalable-nisr/	Scalable Neural Indoor Scene Rendering	SIGGRAPH 2022	54042866	2037117	2037117
obsidian-vault/paperPDFs/SIGGRAPH_2022/Generalized_Resampled_Importance_Sampling_Foundations_of_ReSTIR.pdf	https://graphics.cs.utah.edu/research/projects/gris/	Generalized Resampled Importance Sampling: Foundations of ReSTIR	SIGGRAPH 2022	53532327	2275133	2275133
obsidian-vault/paperPDFs/SIGGRAPH_2026/Colorful_Noise_Training_Free_Low_Frequency_Noise_Manipulation_for_Color_Based_Conditional_Image_Generation.pdf	https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_593&sess=sess154	Colorful-Noise: Training-Free Low-Frequency Noise Manipulation for Color-Based Conditional Image Generation	SIGGRAPH 2026	53376025	3468042	3468042
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/ElastoMonolith_A_Monolithic_Optimization_based_Liquid_Solver_for_Contact_Aware_Elastic_Solid_Coupling.pdf	https://tetsuya-takahashi.github.io/ElastoMonolith/	ElastoMonolith: A Monolithic Optimization-based Liquid Solver for Contact-Aware Elastic-Solid Coupling	SIGGRAPH ASIA 2022	53108824	734801	734801
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Medial_Skeletal_Diagram_A_Generalized_Medial_Axis_Approach_for_3D_Shape_Representation.pdf	https://gmh14.github.io/medial-skeletal-diagram/	Medial Skeletal Diagram: A Generalized Medial Axis Approach for 3D Shape Representation	SIGGRAPH ASIA 2024	52660425	2416562	2416562
obsidian-vault/paperPDFs/SIGGRAPH_2022/Local_Anatomically_Constrained_Facial_Performance_Retargeting.pdf	https://studios.disneyresearch.com/2022/07/24/local-anatomically-constrained-facial-performance-retargeting/	Local Anatomically Constrained Facial Performance Retargeting	SIGGRAPH 2022	52335891	819414	819414
obsidian-vault/paperPDFs/SIGGRAPH_2023/Materialistic_Selecting_Similar_Materials_in_Images.pdf	https://prafullsharma.net/materialistic/	Materialistic: Selecting Similar Materials in Images	SIGGRAPH 2023	51753534	1018873	1018873
obsidian-vault/paperPDFs/SIGGRAPH_2024/Theory_of_Human_Tetrachromatic_Color_Experience_and_Printing.pdf	https://imjal.github.io/theory-of-tetrachromacy/	Theory of Human Tetrachromatic Color Experience and Printing	SIGGRAPH 2024	51462674	994931	994931
obsidian-vault/paperPDFs/SIGGRAPH_2023/Juxtaform_Interactive_Visual_Summarization_for_Exploratory_Shape_Design.pdf	https://www.dgp.toronto.edu/projects/juxtaform/	Juxtaform: Interactive Visual Summarization for Exploratory Shape Design	SIGGRAPH 2023	51366199	686497	686497
obsidian-vault/paperPDFs/SIGGRAPH_2026/Composing_People_Together_Iterative_Pose_Image_Generation_for_Multi_Person_Interaction_Scenes.pdf	https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_753&sess=sess152	Composing People Together: Iterative Pose-Image Generation for Multi-Person Interaction Scenes	SIGGRAPH 2026	51280129	1464257	1464257
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/Neural_Photo_Finishing.pdf	https://light.princeton.edu/publication/neural-photo-finishing/	Neural Photo-Finishing	SIGGRAPH ASIA 2022	51001082	1475479	1475479
obsidian-vault/paperPDFs/ICLR_2026/Dens3R_A_Foundation_Model_for_3D_Geometry_Prediction.pdf	https://openreview.net/forum?id=kxVjQhkAWz	Dens3R: A Foundation Model for 3D Geometry Prediction	ICLR 2026	50949703	1563784	1563784
obsidian-vault/paperPDFs/ICLR_2026/A_Rich_Knowledge_Space_for_Scalable_Deepfake_Detection.pdf	https://openreview.net/forum?id=hNd5L7WnjC	A Rich Knowledge Space for Scalable Deepfake Detection	ICLR 2026	50875329	1650444	1650444
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Dynamic_Skeletonization_via_Variational_Medial_Axis_Sampling.pdf	https://huang46u.github.io/VMAS/	Dynamic Skeletonization via Variational Medial Axis Sampling	SIGGRAPH ASIA 2024	50748531	1080675	1080675
obsidian-vault/paperPDFs/ICLR_2026/Trace_Anything_Representing_Any_Video_in_4D_via_Trajectory_Fields_c3173ca21ca2.pdf	https://openreview.net/forum?id=BqaChqppVh	Trace Anything: Representing Any Video in 4D via Trajectory Fields	ICLR 2026	50738339	2391279	2391279
obsidian-vault/paperPDFs/ICLR_2026/PhyWorldBench_A_Comprehensive_Evaluation_of_Physical_Realism_in_Text_to_Video_Models.pdf	https://openreview.net/forum?id=rlZeILv3fm	$PhyWorldBench$: A Comprehensive Evaluation of Physical Realism in Text-to-Video Models	ICLR 2026	50506565	3286085	3286085
obsidian-vault/paperPDFs/SIGGRAPH_2026/VideoNeuMat_Neural_Material_Extraction_from_Generative_Video_Models.pdf	https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_1134&sess=sess130	VideoNeuMat: Neural Material Extraction from Generative Video Models	SIGGRAPH 2026	50417138	2259038	2259038
obsidian-vault/paperPDFs/ICLR_2026/Distractor_free_Generalizable_3D_Gaussian_Splatting_d5b1fa086266.pdf	https://openreview.net/forum?id=G33Iemmj3Z	Distractor-free Generalizable 3D Gaussian Splatting	ICLR 2026	50358332	1612462	1612462
obsidian-vault/paperPDFs/SIGGRAPH_2024/4D_Rotor_Gaussian_Splatting_Towards_Efficient_Novel_View_Synthesis_for_Dynamic_Scenes.pdf	https://weify627.github.io/4drotorgs/	4D-Rotor Gaussian Splatting: Towards Efficient Novel View Synthesis for Dynamic Scenes	SIGGRAPH 2024	50246105	3406523	3406523
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/GarVerseLOD_High_Fidelity_3D_Garment_Reconstruction_from_a_Single_In_the_Wild_Image_using_a_Dataset_with_Levels_of_Details.pdf	https://garverselod.github.io/	GarVerseLOD: High-Fidelity 3D Garment Reconstruction from a Single In-the-Wild Image using a Dataset with Levels of Details	SIGGRAPH ASIA 2024	50240669	1524057	1524057
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2023/UVDoc_Neural_Grid_based_Document_Unwarping.pdf	https://asia.siggraph.org/2023/?post_type=page&p=14494&id=papers_433&sess=sess138	UVDoc: Neural Grid-based Document Unwarping	SIGGRAPH ASIA 2023	50222938	1184622	1184622
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Occupancy_Based_Dual_Contouring.pdf	https://occupancy-based-dual-contouring.github.io/	Occupancy-Based Dual Contouring	SIGGRAPH ASIA 2024	50117942	2257378	2257378
obsidian-vault/paperPDFs/SIGGRAPH_2026/Mat_rn_Noise_for_Triangulation_Agnostic_Flow_Matching_on_Meshes.pdf	https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_386&sess=sess121	Matérn Noise for Triangulation-Agnostic Flow Matching on Meshes	SIGGRAPH 2026	49911015	1204562	1204562
obsidian-vault/paperPDFs/ICLR_2026/RefAny3D_3D_Asset_Referenced_Diffusion_Models_for_Image_Generation_af40724eea65.pdf	https://openreview.net/forum?id=fUO37EVR7j	RefAny3D: 3D Asset-Referenced Diffusion Models for Image Generation	ICLR 2026	49897856	1199623	1199623
obsidian-vault/paperPDFs/SIGGRAPH_2022/Moving_Level_of_detail_Surfaces.pdf	https://perso.telecom-paristech.fr/boubek/papers/MLoDSurfaces/	Moving Level-of-detail Surfaces	SIGGRAPH 2022	49887990	1858300	1858300
obsidian-vault/paperPDFs/SIGGRAPH_2023/Robust_Low_poly_Meshing_for_General_3D_Models.pdf	https://zhenchen-jay.github.io/publication/robustlowpolymeshing/	Robust Low-poly Meshing for General 3D Models	SIGGRAPH 2023	49858486	1573204	1573204
obsidian-vault/paperPDFs/SIGGRAPH_2024/DiLightNet_Fine_grained_Lighting_Control_for_Diffusion_based_Image_Generation.pdf	https://dilightnet.github.io/	DiLightNet: Fine-grained Lighting Control for Diffusion-based Image Generation	SIGGRAPH 2024	49823187	665436	665436
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Synchronize_Dual_Hands_for_Physics_Based_Dexterous_Guitar_Playing.pdf	https://pei-xu.github.io/guitar	Synchronize Dual Hands for Physics-Based Dexterous Guitar Playing	SIGGRAPH ASIA 2024	49733401	2086204	2086204
obsidian-vault/paperPDFs/SIGGRAPH_2026/Pixal3D_Pixel_Aligned_3D_Generation_from_Images.pdf	https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_1056&sess=sess151	Pixal3D: Pixel-Aligned 3D Generation from Images	SIGGRAPH 2026	49667845	1180062	1180062
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/A_Progressive_Embedding_Approach_to_Bijective_Tetrahedral_Maps_driven_by_Cluster_Mesh_Topology.pdf	https://www.algohex.eu/publications/cluster-mesh-sae/	A Progressive Embedding Approach to Bijective Tetrahedral Maps driven by Cluster Mesh Topology	SIGGRAPH ASIA 2024	49491732	1290670	1290670
obsidian-vault/paperPDFs/SIGGRAPH_2026/HairLRM_Strand_based_Hair_Modeling_via_Large_Reconstruction_Models.pdf	https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_371&sess=sess119	HairLRM: Strand-based Hair Modeling via Large Reconstruction Models	SIGGRAPH 2026	49332166	1117921	1117921
obsidian-vault/paperPDFs/SIGGRAPH_2024/Target_aware_Image_Denoising_for_Inverse_Monte_Carlo_Rendering.pdf	https://cglab.gist.ac.kr/sig24target/	Target-aware Image Denoising for Inverse Monte Carlo Rendering	SIGGRAPH 2024	49244890	1664611	1664611
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/Production_Ready_Face_Re_Aging_for_Visual_Effects.pdf	https://studios.disneyresearch.com/2022/11/30/production-ready-face-re-aging-for-visual-effects/	Production-Ready Face Re-Aging for Visual Effects	SIGGRAPH ASIA 2022	49206372	1432527	1432527
obsidian-vault/paperPDFs/ICLR_2026/Sharp_Monocular_View_Synthesis_in_Less_Than_a_Second_9ff8519e0fec.pdf	https://openreview.net/forum?id=yx3g4sF70y	Sharp Monocular View Synthesis in Less Than a Second	ICLR 2026	49018049	3555453	3555453
obsidian-vault/paperPDFs/SIGGRAPH_2026/M_ABD_Scalable_Efficient_and_Robust_Multi_Affine_Body_Dynamics.pdf	https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_116&sess=sess102	M-ABD: Scalable, Efficient, and Robust Multi-Affine-Body Dynamics	SIGGRAPH 2026	48946012	2522893	2522893
obsidian-vault/paperPDFs/SIGGRAPH_2022/Facial_Hair_Tracking_for_High_Fidelity_Performance_Capture.pdf	https://studios.disneyresearch.com/2022/07/24/facial-hair-tracking-for-high-fidelity-performance-capture/	Facial Hair Tracking for High Fidelity Performance Capture	SIGGRAPH 2022	48805692	1136347	1136347
obsidian-vault/paperPDFs/SIGGRAPH_2024/Multi_material_Mesh_based_Surface_Tracking_With_Implicit_Topology_Changes.pdf	https://visualcomputing.ist.ac.at/publications/2024/SDTF/	Multi-material Mesh-based Surface Tracking With Implicit Topology Changes	SIGGRAPH 2024	48763368	730390	730390
obsidian-vault/paperPDFs/ICLR_2026/Durian_Dual_Reference_Image_Guided_Portrait_Animation_with_Attribute_Transfer.pdf	https://openreview.net/forum?id=tz5GRv9Vzu	Durian: Dual Reference Image-Guided Portrait Animation with Attribute Transfer	ICLR 2026	48607445	2279179	2279179
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Harmonic_caching_for_walk_on_spheres.pdf	https://cs.dartmouth.edu/~wjarosz/publications/zhou25harmonic.pdf	Harmonic caching for walk on spheres	SIGGRAPH ASIA 2025	48560803	4524373	4524373
obsidian-vault/paperPDFs/SIGGRAPH_2022/Time_multiplexed_Neural_Holography_A_Flexible_Framework_for_Holographic_Near_eye_Displays_With_Fast_Heavily_Quantized_Spatial_Light_Modulators.pdf	https://www.computationalimaging.org/publications/time-multiplexed-neural-holography/	Time-multiplexed Neural Holography: A Flexible Framework for Holographic Near-eye Displays With Fast Heavily Quantized Spatial Light Modulators	SIGGRAPH 2022	48560559	4792761	4792761
obsidian-vault/paperPDFs/ICLR_2026/Depth_Anything_3_Recovering_the_Visual_Space_from_Any_Views.pdf	https://openreview.net/forum?id=yirunib8l8	Depth Anything 3: Recovering the Visual Space from Any Views	ICLR 2026	48454899	1135966	1135966
obsidian-vault/paperPDFs/ICLR_2026/FlashWorld_High_quality_3D_Scene_Generation_within_Seconds.pdf	https://openreview.net/forum?id=2IftRjRB07	FlashWorld: High-quality 3D Scene Generation within Seconds	ICLR 2026	48392443	1788778	1788778
obsidian-vault/paperPDFs/SIGGRAPH_2026/PureSample_Neural_Materials_Learned_by_Sampling_Microgeometry.pdf	https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_901&sess=sess130	PureSample: Neural Materials Learned by Sampling Microgeometry	SIGGRAPH 2026	48382099	1500350	1500350
obsidian-vault/paperPDFs/SIGGRAPH_2026/MotionBricks_Scalable_Real_Time_Motions_with_Modular_Latent_Generative_Model_and_Smart_Primitives.pdf	https://doi.org/10.1145/3811334	MotionBricks: Scalable Real-Time Motions with Modular Latent Generative Model and Smart Primitives	SIGGRAPH 2026	48356685	3479585	3479585
obsidian-vault/paperPDFs/ICLR_2026/On_the_Wasserstein_Geodesic_Principal_Component_Analysis_of_probability_measures.pdf	https://openreview.net/forum?id=OJupg4mDjS	On the Wasserstein Geodesic Principal Component Analysis of probability measures	ICLR 2026	48305871	1449364	1449364
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2022/Efficient_Neural_Style_Transfer_for_Volumetric_Simulations.pdf	https://studios.disneyresearch.com/2022/11/30/efficient-neural-style-transfer-for-volumetric-simulations/	Efficient Neural Style Transfer for Volumetric Simulations	SIGGRAPH ASIA 2022	48213094	568148	568148
obsidian-vault/paperPDFs/SIGGRAPH_2022/Face_Deblurring_Using_Dual_Camera_Fusion_on_Mobile_Phones.pdf	https://www.wslai.net/publications/fusion_deblur/	Face Deblurring Using Dual Camera Fusion on Mobile Phones	SIGGRAPH 2022	48174592	1613670	1613670
obsidian-vault/paperPDFs/SIGGRAPH_2023/VideoDoodles_Hand_drawn_Animations_on_Videos_With_Scene_aware_Canvases.pdf	https://em-yu.github.io/research/videodoodles/	VideoDoodles: Hand-drawn Animations on Videos With Scene-aware Canvases	SIGGRAPH 2023	48172139	1227343	1227343
obsidian-vault/paperPDFs/SIGGRAPH_2025/Cobra_Efficient_Line_Art_COlorization_with_BRoAder_References.pdf	https://openreview.net/pdf?id=0f41fa7df2	Cobra: Efficient Line Art COlorization with BRoAder References	SIGGRAPH 2025	48049985	1853931	1853931
obsidian-vault/paperPDFs/SIGGRAPH_2026/Toward_Richer_Material_Generation_via_Procedural_Data_Enhancement.pdf	https://s2026.conference-schedule.org/?post_type=page&p=15&id=papers_1355&sess=sess106	Toward Richer Material Generation via Procedural Data Enhancement	SIGGRAPH 2026	47846669	799855	799855
obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2024/Customizing_Text_to_Image_Models_with_a_Single_Image_Pair.pdf	https://paircustomization.github.io/	Customizing Text-to-Image Models with a Single Image Pair	SIGGRAPH ASIA 2024	47454818	1972171	1972171
