case_id,model,sample_id,primary_bucket,problem_description,prompt_text,factor_primary,factor_secondary,evidence_quote,confidence,missing_info_flag,needs_adjudication,label_source,source_agents,note
F017,MoGenTS,hml_orig100_train_069__full,multi_action_composition,a man is standing and bending down and reaches down with his left hand then to the right with his right hand.,"a man is standing and reaches down to the left with his left hand then to the right with his right hand, and then the left again.",missing_subaction,,a man is standing and bending down and reaches down with his left hand then to the right with his right hand.,medium,False,False,agent_e_adjudication,agent_a_gpt55;agent_b_gpt55;agent_e_gpt55,description stops after the right-hand stage and does not include the final left-again stage
F018,MoGenTS,hml_orig100_train_073__full,dance_exercise,踢左腿,"a man stands with feet apart left arm stretched and right arm bent, then lunges forward and kicks his right foot into the air.",wrong_limb_or_side,,踢左腿,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F019,MoGenTS,hml_orig100_train_075__full,dance_exercise,man has two hands on the ground facing downward with the left leg in front and the right leg stretched behind; kicks right leg behind as well and went intp a downward facing dog position.,man has two hands on the ground facing downward with the right leg in front and the left leg stretched behind; kicks right leg behind as well and went intp a downward facing dog position.,wrong_limb_or_side,,left leg in front and the right leg stretched behind,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F020,MoGenTS,hml_orig100_train_078__full,dance_exercise,person dances energetically on screen and throws both arms in the sky repeatedly.,person dances energetically on screen and throws left arm in the sky repeatedly.,overgeneration_or_extra_motion,wrong_limb_or_side,throws both arms in the sky repeatedly,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F021,MoGenTS,hml_orig100_train_079__full,dance_exercise,"a standing woman gracefully dances forward, from the viewer's left to right, tapping toes and swaying arms in synchrony.","a standing  woman gracefully dances forward, from the viewer's right to left, tapping toes and swaying arms in synchrony.",wrong_trajectory_or_path,wrong_limb_or_side,from the viewer's left to right,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F022,MoLingo,hml_orig100_test_003__full,direction_turn,两只脚轮流单脚跳,a person stands normally then begins hops on their right foot while their left foot is elevated then stops and stands normally.,wrong_limb_or_side,overgeneration_or_extra_motion,两只脚轮流单脚跳,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F023,MoLingo,hml_orig100_test_006__full,stop_go,this person stands still then lifts his left foot.,this person stands still then lifts his right foot.,wrong_limb_or_side,,lifts his left foot,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F024,MoLingo,hml_orig100_test_020__full,dance_exercise,没有holding the posture for several seconds保持姿势不动数秒,"a man slowly raises both arms high over his head in a stretch, holding the posture for several seconds, with his right arm stretched out to his side.",timing_or_duration_error,missing_subaction,没有holding the posture for several seconds保持姿势不动数秒,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F025,MoLingo,hml_orig100_train_002__full,simple_locomotion,没有走完一圈,a person looking to their right walks in a tight circle while continuing to face the same direction. they look to be slightly off balance,wrong_trajectory_or_path,missing_subaction,没有走完一圈,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F026,MoLingo,hml_orig100_train_006__full,simple_locomotion,左手拿,"a person picks up a cloth/sponge with their right hand, then walks over to an object, lifts it with their left hand and washes/wipes it with the cloth.",wrong_limb_or_side,,左手拿,high,False,False,human_review,human_review,text requests right-hand pickup; rendered result uses left hand
F027,MoLingo,hml_orig100_train_047__full,upper_body_gesture,没有两次limp,"a person bends slightly to grab something with his right hand then limps one step to his left, pauses, and limps another step to the left.",timing_or_duration_error,missing_subaction,没有两次limp,high,False,False,agent_e_adjudication,agent_a_gpt55;agent_b_gpt55;agent_e_gpt55,the stated failure is count/repetition not reaching two limps
F028,MoLingo,hml_orig100_train_050__full,object_interaction,用右手摘,a man turns to the left and reaches up to grab something with his left hands.,wrong_limb_or_side,object_interaction_error,用右手摘,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F029,MoLingo,hml_orig100_train_064__full,count_duration_speed,人物抖动、漂移严重,a man does several cart wheels in a small area.,pose_or_contact_artifact,,人物抖动、漂移严重,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F030,MoLingo,hml_orig100_train_066__full,multi_action_composition,第二次跳跃后脚步滑动,this person jump and spin and then balance themselves.,pose_or_contact_artifact,,第二次跳跃后脚步滑动,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F031,MoLingo,hml_orig100_train_074__full,dance_exercise,"a man stands facing forward, stretch both hands forward, he turned right walked a little turned left walked a little turned right walked.","a man stands facing forward, stretch both hands forward, he turned right walked a little turned left walked a little turned left walked.",wrong_trajectory_or_path,orientation_or_facing_error,turned right walked a little turned left walked a little turned right walked,high,False,False,agent_e_adjudication,agent_a_gpt55;agent_b_gpt55;agent_e_gpt55,the walking-turn sequence ends with the wrong path direction
F032,MoLingo,hml_orig100_train_075__full,dance_exercise,man has two hands on the ground facing downward with the left leg in front and the right leg stretched behind; kicks right leg behind as well and went intp a downward facing dog position.,man has two hands on the ground facing downward with the right leg in front and the left leg stretched behind; kicks right leg behind as well and went intp a downward facing dog position.,wrong_limb_or_side,,left leg in front and the right leg stretched behind,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F033,MoLingo,hml_orig100_train_076__full,dance_exercise,"a man bends foward ,stretches his left hand towards the ground and then followed by the right hand trying to search something.","a man bends foward ,stretches his right hand towards the ground and then followed by the left hand trying to search something.",wrong_limb_or_side,object_interaction_error,stretches his left hand towards the ground,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F034,MoMask original,hml_orig100_test_002__full,simple_locomotion,直线跑，且滑步严重,a person who is poised to run steps to his right with is right foot and dashes to his left.,wrong_trajectory_or_path,pose_or_contact_artifact,直线跑，且滑步严重,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F035,MoMask original,hml_orig100_test_003__full,direction_turn,a person stands normally then begins hops on their left foot while their right foot is elevated then stops and stands normally.,a person stands normally then begins hops on their right foot while their left foot is elevated then stops and stands normally.,wrong_limb_or_side,,left foot while their right foot is elevated,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F036,MoMask original,hml_orig100_test_005__full,stop_go,不是yoga pose,a person stands on one leg in yoga pose.,semantic_mismatch,,不是yoga pose,medium,False,False,agent_e_adjudication,agent_a_gpt55;agent_b_gpt55;agent_e_gpt55,description gives only an overall non-yoga-pose mismatch without a more specific substitute action
F037,MoMask original,hml_orig100_test_013__full,object_interaction,a person lowers the right hand bending down slightly to examine something,"a person lowers the right hand bending down slightly to examine something, then straightens and raises something to his face with the left hand.",missing_subaction,object_interaction_error,a person lowers the right hand bending down slightly to examine something,medium,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F038,MoMask original,hml_orig100_test_016__full,count_duration_speed,"a person walks up to shake with their left hand, turns slightly left to shake again, and turns right again to shake for a final time.","a person walks up to shake with their left hand, turns slightly left to shake again, and turns left again to shake for a final time.",wrong_limb_or_side,orientation_or_facing_error,turns right again to shake for a final time,high,False,False,agent_e_adjudication,agent_a_gpt55;agent_b_gpt55;agent_e_gpt55,final turn side is right where the target sequence requires left
F039,MoMask original,hml_orig100_test_020__full,dance_exercise,没有holding the posture for several seconds保持姿势不动数秒，在左右弯腰,"a man slowly raises both arms high over his head in a stretch, holding the posture for several seconds, with his right arm stretched out to his side.",timing_or_duration_error,wrong_action,没有holding the posture for several seconds保持姿势不动数秒,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F040,MoMask original,hml_orig100_train_001__full,simple_locomotion,foot sliding严重,a person slides from side to side 2 times then takes off running while looking forward the whole time,pose_or_contact_artifact,,foot sliding严重,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F041,MoMask original,hml_orig100_train_002__full,simple_locomotion,没有绕圈走,a person looking to their right walks in a tight circle while continuing to face the same direction. they look to be slightly off balance,wrong_trajectory_or_path,missing_subaction,没有绕圈走,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F042,MoMask original,hml_orig100_train_006__full,simple_locomotion,左手拿,"a person picks up a cloth/sponge with their right hand, then walks over to an object, lifts it with their left hand and washes/wipes it with the cloth.",wrong_limb_or_side,,左手拿,high,False,False,human_review,human_review,text requests right-hand pickup; rendered result uses left hand
F043,MoMask original,hml_orig100_train_011__full,direction_turn,没有逆时针旋转,someone with outstretched arms spins counterclockwise,missing_subaction,wrong_limb_or_side,没有逆时针旋转,high,False,False,agent_e_adjudication,agent_a_gpt55;agent_b_gpt55;agent_e_gpt55,counterclockwise rotation is explicitly absent rather than merely performed in the opposite direction
F044,MoMask original,hml_orig100_train_019__full,stop_go,轨迹不是8,"a person quickly sprints in a figure-eight pattern, stopping briefly at each side to carefully turn.",wrong_trajectory_or_path,,轨迹不是8,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F045,MoMask original,hml_orig100_train_029__full,sit_squat_posture,坐下错误生成为跪下,a person sits down with both hands on his knees.,wrong_action,,坐下错误生成为跪下,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F046,MoMask original,hml_orig100_train_033__full,jump_kick,停滞在保持踢的准备动作,the woman angerily kicked at the ground with her left foot.,missing_subaction,timing_or_duration_error,停滞在保持踢的准备动作,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F047,MoMask original,hml_orig100_train_037__full,jump_kick,右脚踢，且没有wheel-like spin,"a person does a quick wheel-like spin kick with left leg, pivoting on right leg while both arms resume fighting gesture.",wrong_limb_or_side,missing_subaction,右脚踢，且没有wheel-like spin,high,False,False,agent_e_adjudication,agent_a_gpt55;agent_b_gpt55;agent_e_gpt55,right-foot kick is a direct side/limb error and wheel-like spin is also absent
F048,MoMask original,hml_orig100_train_050__full,object_interaction,缺少turns to the left,a man turns to the left and reaches up to grab something with his left hands.,missing_subaction,wrong_limb_or_side;orientation_or_facing_error,缺少turns to the left,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F049,MoMask original,hml_orig100_train_053__full,object_interaction,"a person slowly bentd and touched something with right hand, walking fast and turn and touched something with  left hand",a person slowly walked and touched something with right and left hand,timing_or_duration_error,overgeneration_or_extra_motion,walking fast and turn,medium,False,False,agent_e_adjudication,agent_a_gpt55;agent_b_gpt55;agent_e_gpt55,fast walking is the clearest direct speed mismatch while turning is extra motion
F050,MoMask original,hml_orig100_train_064__full,count_duration_speed,手部触底时飘逸,a man does several cart wheels in a small area.,pose_or_contact_artifact,,手部触底时飘逸,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F051,MoMask original,hml_orig100_train_065__full,multi_action_composition,朝向一直在变,"a man emulates jogging, shuffling around in a couple counterclockwise circles while keeping his body facing forward the whole time.",orientation_or_facing_error,,朝向一直在变,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F052,MoMask original,hml_orig100_train_068__full,multi_action_composition,一直右脚站立，且左膝盖弯曲异常,a person is standing on his right foot and then his left foot.,missing_subaction,pose_or_contact_artifact;wrong_limb_or_side,一直右脚站立，且左膝盖弯曲异常,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F053,MoMask original,hml_orig100_train_069__full,multi_action_composition,a man is standing and  reaches  to the front with his left hand then reaches  to the left with his left hand.,"a man is standing and reaches down to the left with his left hand then to the right with his right hand, and then the left again.",wrong_limb_or_side,wrong_trajectory_or_path;missing_subaction,reaches  to the front with his left hand then reaches  to the left with his left hand,high,False,False,agent_e_adjudication,agent_a_gpt55;agent_b_gpt55;agent_e_gpt55,the right-hand stage is replaced by another left-hand reach and directions differ
F054,MoMask original,hml_orig100_train_070__full,multi_action_composition,"a person walks forward and bends down, reaching their right arm out before returning to regular.","a person walks forward and steps forward on their right foot, reaching their left arm out before returning to regular.",wrong_limb_or_side,wrong_action,reaching their right arm out,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F055,MoMask original,hml_orig100_train_073__full,dance_exercise,踢左腿,"a man stands with feet apart left arm stretched and right arm bent, then lunges forward and kicks his right foot into the air.",wrong_limb_or_side,,踢左腿,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F056,MoMask original,hml_orig100_train_078__full,dance_exercise,person dances energetically on screen and throws both arms in the sky repeatedly.,person dances energetically on screen and throws left arm in the sky repeatedly.,overgeneration_or_extra_motion,wrong_limb_or_side,throws both arms in the sky repeatedly,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F057,MotionGPT,hml_orig100_test_002__full,simple_locomotion,在原地踉跄,a person who is poised to run steps to his right with is right foot and dashes to his left.,wrong_trajectory_or_path,wrong_action,在原地踉跄,medium,False,False,agent_e_adjudication,agent_a_gpt55;agent_b_gpt55;agent_e_gpt55,in-place staggering primarily misses the requested spatial displacement and also changes the action
F058,MotionGPT,hml_orig100_test_003__full,direction_turn,a person stands normally then begins hops on their left foot while their right foot is elevated then stops and stands normally.,a person stands normally then begins hops on their right foot while their left foot is elevated then stops and stands normally.,wrong_limb_or_side,,left foot while their right foot is elevated,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F059,MotionGPT,hml_orig100_test_006__full,stop_go,this person stands still then lifts his left foot.,this person stands still then lifts his right foot.,wrong_limb_or_side,,lifts his left foot,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F060,MotionGPT,hml_orig100_test_009__full,jump_kick,人物沿着8字行走和跑步，这个prompt在别的样本中出现过,a person walked forward in right direction adn jumped,wrong_trajectory_or_path,missing_subaction,人物沿着8字行走和跑步,high,False,False,agent_e_adjudication,agent_a_gpt55;agent_b_gpt55;agent_e_gpt55,8-shaped walking/running is a specific path mismatch and the jump phase is absent
F061,MotionGPT,hml_orig100_test_012__full,upper_body_gesture,the person reaches forward with right hand,a person twists to the left and picks something up with their left hand.,wrong_limb_or_side,object_interaction_error;wrong_trajectory_or_path,reaches forward with right hand,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F062,MotionGPT,hml_orig100_test_013__full,object_interaction,"a person lowers the right hand bending down slightly to examine something, then straightens and raises something to his face with the right hand.","a person lowers the right hand bending down slightly to examine something, then straightens and raises something to his face with the left hand.",wrong_limb_or_side,object_interaction_error,raises something to his face with the right hand,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F063,MotionGPT,hml_orig100_test_015__full,count_duration_speed,a person starts slowly walking forward and then stands on left leg.,a person starts slowly walking forward and then jogs some before coming to a stop.,wrong_action,missing_subaction,then stands on left leg,high,False,False,agent_e_adjudication,agent_a_gpt55;agent_b_gpt55;agent_e_gpt55,jog-before-stop is replaced by standing on one leg
F064,MotionGPT,hml_orig100_test_016__full,count_duration_speed,"a person walks up to shake with their left hand, turns slightly left and turns fast right and turns left again to shake for a final time.","a person walks up to shake with their left hand, turns slightly left to shake again, and turns left again to shake for a final time.",wrong_limb_or_side,timing_or_duration_error,turns fast right,high,False,False,agent_e_adjudication,agent_a_gpt55;agent_b_gpt55;agent_e_gpt55,the middle turn uses the wrong side and is also marked fast
F065,MotionGPT,hml_orig100_test_020__full,dance_exercise,没有holding the posture for several seconds保持姿势不动数秒，在将双手举过头顶后收回两侧,"a man slowly raises both arms high over his head in a stretch, holding the posture for several seconds, with his right arm stretched out to his side.",timing_or_duration_error,missing_subaction,没有holding the posture for several seconds保持姿势不动数秒,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F066,MotionGPT,hml_orig100_train_035__full,jump_kick,左脚为支点旋转一周,a person kicked with the left leg,wrong_limb_or_side,wrong_action,左脚为支点旋转一周,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F067,MotionGPT,hml_orig100_train_037__full,jump_kick,没完成whell-like spin kick，只是简单的kick,"a person does a quick wheel-like spin kick with left leg, pivoting on right leg while both arms resume fighting gesture.",missing_subaction,wrong_action,没完成whell-like spin kick，只是简单的kick,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F068,MotionGPT,hml_orig100_train_047__full,upper_body_gesture,缺少and limps another step to the left.,"a person bends slightly to grab something with his right hand then limps one step to his left, pauses, and limps another step to the left.",missing_subaction,timing_or_duration_error,缺少and limps another step to the left.,high,False,False,agent_ab_agreement,agent_a_gpt55;agent_b_gpt55,Agent A/B factor_primary 一致，未触发仲裁。
F069,MotionGPT,hml_orig100_train_050__full,object_interaction,a man walks forward and 左右摇摆,a man turns to the left and reaches up to grab something with his left hands.,missing_subaction,wrong_action;object_interaction_error,a man walks forward and 左右摇摆,medium,False,False,agent_e_adjudication,agent_a_gpt55;agent_b_gpt55;agent_e_gpt55,reach/grab interaction is absent and output action is walking/swaying
F070,MotionGPT,hml_orig100_train_058__full,count_duration_speed,缓慢伸右手,person quickly raises their left hand,wrong_limb_or_side,timing_or_duration_error;wrong_action,缓慢伸右手,high,False,False,agent_e_adjudication,agent_a_gpt55;agent_b_gpt55;agent_e_gpt55,right hand is used instead of left and the motion is slow rather than quick
