topic_id,topic_label,rank_within_topic,openreview_forum_id,title,primary_confidence,primary_score,secondary_topic_ids,matched_phrases
graph_learning,Graph Learning,8,wFttcDu6Fr,On the Universality and Complexity of GNN for Solving Second-order Cone Programs,0.99,22.0,optimization_theory,"graph neural network, graph representation, gnn"
graph_learning,Graph Learning,9,hxGdAUn3sB,Self-Consistency Improves the Trustworthiness of Self-Interpretable GNNs,0.99,21.0,,"graph neural network, gnn"
graph_learning,Graph Learning,10,HBcgLe6NZD,GNN Explanations that do not Explain and How to find Them,0.99,20.4,,"graph neural network, gnn"
llm_reasoning_agents,LLM Reasoning & Agents,1,Zz8ikW4uWG,A State-Transition Framework for Efficient LLM Reasoning,0.99,78.2,,"large language model, language model, llm, reasoning"
llm_reasoning_agents,LLM Reasoning & Agents,2,yJoHTqUNry,Opponent Shaping in LLM Agents,0.99,61.3,,"large language model, language model, llm, reasoning, agent"
llm_reasoning_agents,LLM Reasoning & Agents,3,EdTt8nMAMA,Multi-Agent Debate with Memory Masking,0.99,59.9,,"large language model, language model, llm, reasoning, agent"
llm_reasoning_agents,LLM Reasoning & Agents,4,hlLXvyz5iP,Reasoning-Aligned Perception Decoupling for Scalable Multi-modal Reasoning,0.99,59.3,,"large language model, language model, llm, reasoning"
llm_reasoning_agents,LLM Reasoning & Agents,5,aH7eyx64pC,OCR-Reasoning Benchmark: Unveiling the True Capabilities of MLLMs in Complex Text-Rich Image Reasoning,0.99,57.75,,"large language model, language model, llm, reasoning"
llm_reasoning_agents,LLM Reasoning & Agents,6,n1AvXiU2lu,Real-Time Reasoning Agents in Evolving Environments,0.99,55.8,,"language model, reasoning, agent"
llm_reasoning_agents,LLM Reasoning & Agents,7,l05DseqvuD,AgenTracer: Who Is Inducing Failure in the LLM Agentic Systems?,0.99,55.2,,"large language model, language model, llm, reasoning, agent"
llm_reasoning_agents,LLM Reasoning & Agents,8,KeJqoEVOeY,CoLLMLight: Cooperative Large Language Model Agents for Network-Wide Traffic Signal Control,0.99,55.1,,"large language model, language model, llm, reasoning, agent"
llm_reasoning_agents,LLM Reasoning & Agents,9,psJiUopUt7,Reasoning-Driven Multimodal LLM for Domain Generalization,0.99,54.7,,"large language model, language model, llm, reasoning"
llm_reasoning_agents,LLM Reasoning & Agents,10,CbK7lYbmv8,Rethinking LLM Reasoning: From Explicit Trajectories to Latent Representations,0.99,54.7,,"large language model, language model, llm, reasoning"
multimodal_vlm,Multimodal & Vision-Language,1,tc2UsBeODW,VLM4VLA: Revisiting Vision-Language-Models in Vision-Language-Action Models,0.99,51.15,,"vision language, vlm"
multimodal_vlm,Multimodal & Vision-Language,2,KttCXdjj4w,Perception-R1: Advancing Multimodal Reasoning Capabilities of MLLMs via Visual Perception Reward,0.99,46.8,llm_reasoning_agents,"multimodal, mllm"
multimodal_vlm,Multimodal & Vision-Language,3,7tlLpQpGlx,Simulation to Rules: A Dual-VLM Framework for Formal Visual Planning,0.99,43.7,,"vision language, vlm"
multimodal_vlm,Multimodal & Vision-Language,4,fqehqG4WvL,Spatial Reasoning with Vision-Language Models in Ego-Centric Multi-View Scenes,0.99,42.3,,"vision language, vlm"
multimodal_vlm,Multimodal & Vision-Language,5,sFO9d6XSlf,Actions as Language: Fine-Tuning VLMs into VLAs Without Catastrophic Forgetting,0.99,40.3,,"vision language, multimodal, vlm"
multimodal_vlm,Multimodal & Vision-Language,6,e4FqU4SyHL,Game-RL: Synthesizing Multimodal Verifiable Game Data to Boost VLMs' General Reasoning,0.99,38.7,llm_reasoning_agents,"vision language, multimodal, vlm"
multimodal_vlm,Multimodal & Vision-Language,7,DF6udvxuvY,From Pixels to Words -- Towards Native Vision-Language Primitives at Scale,0.99,36.7,,"vision language, vlm"
multimodal_vlm,Multimodal & Vision-Language,8,2zXRGiorSu,Linear Mechanisms for Spatiotemporal Reasoning in Vision Language Models,0.99,36.2,llm_reasoning_agents,"vision language, visual reasoning, vlm"
multimodal_vlm,Multimodal & Vision-Language,9,ZQiO12xlJq,Mordal: Automated Pretrained Model Selection for Vision Language Models,0.99,34.4,,"vision language, multimodal, vlm"
multimodal_vlm,Multimodal & Vision-Language,10,C1M4ETatgM,Vision-SR1: Self-Rewarding Vision-Language Model via Reasoning Decomposition and Multi-Reward Policy Optimization,0.99,32.95,llm_reasoning_agents,"vision language, visual reasoning, vlm"
optimization_theory,Optimization & Theory,1,EOV1q1U23N,Convergence of Regret Matching in Potential Games and Constrained Optimization,0.99,30.9,,"optimization, convergence, theory, regret, gradient descent"
optimization_theory,Optimization & Theory,2,KWWfLgkySm,Fast Convergence of Natural Gradient Descent for Over-parameterized Physics-Informed Neural Networks,0.99,28.1,,"convergence, gradient descent"
optimization_theory,Optimization & Theory,3,7MzaG8dHRv,Online Black-Box Prompt Optimization with Regret Guarantees under Noisy Feedback,0.99,26.8,,"optimization, convergence, regret"
optimization_theory,Optimization & Theory,4,JLllvi7dsg,A Faster Parameter-Free Regret Matching Algorithm,0.99,26.45,,"convergence, regret"
optimization_theory,Optimization & Theory,5,3U6wH7uAPZ,On the Convergence Direction of Gradient Descent,0.99,25.9,,"optimization, convergence, gradient descent"
optimization_theory,Optimization & Theory,6,m4nvqQkm4X,Reference-guided Policy Optimization for Molecular Optimization via LLM Reasoning,0.99,25.9,"llm_reasoning_agents, reinforcement_learning",optimization
optimization_theory,Optimization & Theory,7,VDIH6L8ANo,Convergence Dynamics of Over-Parameterized Score Matching for a Single Gaussian,0.99,24.5,diffusion_generation,"optimization, convergence, gradient descent"
optimization_theory,Optimization & Theory,8,PYnLd91wZY,Policy Newton Algorithm in Reproducing Kernel Hilbert Space,0.99,24.4,reinforcement_learning,"optimization, convergence"
optimization_theory,Optimization & Theory,9,dJgb3ngAvT,Bilevel Optimization with Lower-Level Uniform Convexity: Theory and Algorithm,0.99,24.3,,"optimization, convergence, theory"
optimization_theory,Optimization & Theory,10,hQtwQqYikp,Proximal Supervised Fine-Tuning,0.99,24.0,reinforcement_learning,"optimization, generalization"
other,Other / Unclear,1,JAb0y8lkqL,3DCS: Datasets and Benchmark for Evaluating Conformational Sensitivity in Molecular Representations,0.2,0.0,,
other,Other / Unclear,2,cUdODCFjUM,A Dense Subset Index for Collective Query Coverage,0.2,0.0,,
other,Other / Unclear,3,JkKkquv5lw,A Study on PAVE Specification for Learnware,0.2,0.0,,
other,Other / Unclear,4,RZ8esDBqMJ,A tale of two tails: Preferred and anti-preferred natural stimuli in visual cortex,0.2,0.0,,
other,Other / Unclear,5,5R11h5o44C,"Accessible, Realistic, and Fair Evaluation of Positive-Unlabeled Learning Algorithms",0.2,0.0,,
other,Other / Unclear,6,Y59JeAbM3j,Adaptive Gaussian Expansion for On-the-fly Category Discovery,0.2,0.0,,
other,Other / Unclear,7,QFH5mwP9oH,Adaptive Regularization for Large-Scale Sparse Feature Embedding Models,0.2,0.0,,
other,Other / Unclear,8,p6Ek7Qg577,Adaptive Width Neural Networks,0.2,0.0,,
other,Other / Unclear,9,l9i6q2bXnj,ARINBEV: Bird's-Eye View Layout Estimation with Conditional Autoregressive Model,0.2,0.0,,
other,Other / Unclear,10,CYmjrbQRyM,ASMIL: Attention-Stabilized Multiple Instance Learning for Whole-Slide Imaging,0.2,0.0,,
privacy_security,"Privacy, Security & Trustworthiness",1,jY7fAo9rfK,Benchmarking Empirical Privacy Protection for Adaptations of Large Language Models,0.99,38.2,llm_reasoning_agents,"privacy, security, attack, membership inference"
privacy_security,"Privacy, Security & Trustworthiness",2,GNo1qMqgPD,VoxPrivacy: A Benchmark for Evaluating Interactional Privacy of Speech Language Models,0.99,37.5,,privacy
privacy_security,"Privacy, Security & Trustworthiness",3,u0UjdCMPLc,EnsembleSHAP: Faithful and Certifiably Robust Attribution for Random Subspace Method,0.99,35.9,,"privacy, security, defense, attack, backdoor"
privacy_security,"Privacy, Security & Trustworthiness",4,CNrU5kGJYG,TrojanTO: Action-Level Backdoor Attacks Against Trajectory Optimization Models,0.99,35.2,,"defense, attack, backdoor"
privacy_security,"Privacy, Security & Trustworthiness",5,ieCOL2YAqv,Defending against Backdoor Attacks via Module Switching,0.99,33.8,,"defense, attack, backdoor"
privacy_security,"Privacy, Security & Trustworthiness",6,W4FAenIrQ2,RedSage: A Cybersecurity Generalist LLM,0.99,33.35,llm_reasoning_agents,"privacy, security"
privacy_security,"Privacy, Security & Trustworthiness",7,OwinX7PI83,BEAT: Visual Backdoor Attacks on VLM-based Embodied Agents via Contrastive Trigger Learning,0.99,32.6,"multimodal_vlm, llm_reasoning_agents","security, defense, attack, backdoor"
privacy_security,"Privacy, Security & Trustworthiness",8,bcOD0CLgBb,Concept-Aware Privacy Mechanisms for Defending Embedding Inversion Attacks,0.99,31.7,,"privacy, defense, attack, embedding inversion"
privacy_security,"Privacy, Security & Trustworthiness",9,O02qsgSUtY,STEDiff: Revealing the Spatial and Temporal Redundancy of Backdoor Attacks in Text-to-Image Diffusion Models,0.99,31.7,diffusion_generation,"attack, backdoor"
privacy_security,"Privacy, Security & Trustworthiness",10,KboFptAM8S,VEAttack: Downstream-agnostic Vision Encoder Attack against Large Vision Language Models,0.99,30.8,multimodal_vlm,"defense, attack"
reinforcement_learning,Reinforcement Learning,1,s2hxd8JghB,Bayesian Ensemble for Sequential Decision-Making,0.99,29.0,,"reinforcement learning, sequential decision, decision making, bandit"
reinforcement_learning,Reinforcement Learning,2,eTThjhjzwZ,Trajectory Generation with Conservative Value Guidance for Offline Reinforcement Learning,0.99,25.6,,"reinforcement learning, offline reinforcement learning, decision making, planning, trajectory"
reinforcement_learning,Reinforcement Learning,3,jITPFROpWN,Learning Koopman Representations with Controllability Guarantees,0.99,25.2,,control
reinforcement_learning,Reinforcement Learning,4,H0B7pDTT0M,Latent Planning Emerges with Scale,0.99,24.0,,planning
reinforcement_learning,Reinforcement Learning,5,enprG5H9aD,SLAP: Shortcut Learning for Abstract Planning,0.99,23.55,,"reinforcement learning, decision making, planning"
reinforcement_learning,Reinforcement Learning,6,CMU8GxwpUL,$AutoDrive\text{-}P^3$: Unified Chain of Perception–Prediction–Planning Thought via Reinforcement Fine-Tuning,0.99,23.35,"multimodal_vlm, llm_reasoning_agents","reinforcement learning, decision making, planning"
reinforcement_learning,Reinforcement Learning,7,abJCjkIwi5,OccDriver: Future Occupancy Guided Dual-branch Trajectory Planner in Autonomous Driving,0.99,23.0,,"planner, planning, trajectory"
reinforcement_learning,Reinforcement Learning,8,rTlPfuKTNg,Model Predictive Adversarial Imitation Learning for Planning from Observation,0.99,22.6,robustness_ood,"reinforcement learning, planner, planning, control"
reinforcement_learning,Reinforcement Learning,9,HJTFgDYoLO,GenCtrl -- A Formal Controllability Toolkit for Generative Models,0.99,22.5,diffusion_generation,control
reinforcement_learning,Reinforcement Learning,10,UmCzGf4qNh,Bayes Adaptive Monte Carlo Tree Search for Offline Model-based Reinforcement Learning,0.99,22.4,,"reinforcement learning, offline reinforcement learning, decision making, planning, control"
robustness_ood,"Robustness, OOD & Adaptation",1,jGXTx64gal,FERD: Fairness-Enhanced Data-Free Adversarial Robustness Distillation,0.99,66.25,,"robust, robustness, adversarial"
robustness_ood,"Robustness, OOD & Adaptation",2,PLZx2hpauY,Get RICH or Die Scaling: Profitably Trading Inference Compute for Robustness,0.99,59.0,,"robust, robustness, ood, adversarial"
robustness_ood,"Robustness, OOD & Adaptation",3,11eHIPnWDx,Adversarially Pretrained Transformers May Be Universally Robust In-Context Learners,0.99,49.9,,"robust, robustness, ood, adversarial"
robustness_ood,"Robustness, OOD & Adaptation",4,cS6xizdYD5,On Robustness of Vision-Language-Action Model against Multi-Modal Perturbations,0.99,48.4,,"robust, robustness, adversarial"
robustness_ood,"Robustness, OOD & Adaptation",5,RebPBMrMmk,"RobustSpring: Benchmarking Robustness to Image Corruptions for Optical Flow, Scene Flow and Stereo",0.99,45.0,,"robust, robustness"
robustness_ood,"Robustness, OOD & Adaptation",6,sptCQnKS9X,When Flatness Does (Not) Guarantee Adversarial Robustness,0.99,41.2,,"robust, robustness, ood, adversarial"
robustness_ood,"Robustness, OOD & Adaptation",7,UYM3yaiUX9,Feature compression is the root cause of adversarial fragility in neural networks,0.99,40.3,,"robust, robustness, ood, adversarial"
robustness_ood,"Robustness, OOD & Adaptation",8,zSsNzxjWP4,On the Interaction of Compressibility and Adversarial Robustness,0.99,39.4,,"robust, robustness, adversarial"
robustness_ood,"Robustness, OOD & Adaptation",9,WhFS8mxWJh,Robust Adversarial Attacks Against Unknown Disturbance via Inverse Gradient Sample,0.99,37.4,,"robust, robustness, ood, adversarial"
robustness_ood,"Robustness, OOD & Adaptation",10,VSPLa2Sito,Interpretable 3D Neural Object Volumes for Robust Conceptual Reasoning,0.99,36.3,,"robust, robustness, ood"
scientific_ml,"Scientific ML, PDEs & Neural Operators",1,mJiPqOzc3O,Learning Data-Efficient and Generalizable Neural Operators via Fundamental Physics Knowledge,0.99,48.1,,"neural operator, partial differential equation, pde, differential equation, scientific machine learning"
scientific_ml,"Scientific ML, PDEs & Neural Operators",2,iCprPzyrRp,From Cheap Geometry to Expensive Physics: A Physics-agnostic Pretraining Framework for Neural Operators,0.99,47.6,,"neural operator, partial differential equation, pde, differential equation, solver"
scientific_ml,"Scientific ML, PDEs & Neural Operators",3,OenyzvFZPs,Adaptive Mamba Neural Operators,0.99,41.5,,"neural operator, partial differential equation, pde, differential equation, solver"
scientific_ml,"Scientific ML, PDEs & Neural Operators",4,d2pUyiXwcm,Physics-Informed Inference Time Scaling for Solving High-Dimensional Partial Differential Equations,0.99,40.7,,"partial differential equation, pde, differential equation, scientific machine learning, solver"
scientific_ml,"Scientific ML, PDEs & Neural Operators",5,IxAnL4PRsg,Operator Learning with Domain Decomposition for Geometry Generalization in PDE Solving,0.99,36.25,,"neural operator, partial differential equation, pde, differential equation, solver"
scientific_ml,"Scientific ML, PDEs & Neural Operators",6,EJ8HnNTEAv,DGNet: Discrete Green Networks for Data-Efficient Learning of Spatiotemporal PDEs,0.99,33.3,,"partial differential equation, pde, differential equation, solver"
scientific_ml,"Scientific ML, PDEs & Neural Operators",7,Vjw7q1quNt,Riesz Neural Operator for Solving Partial Differential Equations,0.99,31.6,,"neural operator, partial differential equation, pde, differential equation"
scientific_ml,"Scientific ML, PDEs & Neural Operators",8,zrQkWSecMR,Towards Generalizable PDE Dynamics Forecasting via Physics-Guided Invariant Learning,0.99,30.55,,"partial differential equation, pde, differential equation"
scientific_ml,"Scientific ML, PDEs & Neural Operators",9,IQhaeSzyup,CFO: Learning Continuous-Time PDE Dynamics via Flow-Matched Neural Operators,0.99,30.3,,"neural operator, partial differential equation, pde, differential equation, solver"
scientific_ml,"Scientific ML, PDEs & Neural Operators",10,ER7zDJXtRI,ComPhy: Composing Physical Models with end-to-end Alignment,0.99,28.1,,"partial differential equation, pde, differential equation, solver"
time_series_sequential,Time Series & Sequential Modeling,1,emkvZ7NanK,Tackling Time-Series Forecasting Generalization via Mitigating Concept Drift,0.99,62.0,,"time series, forecasting, temporal"
time_series_sequential,Time Series & Sequential Modeling,2,a1zBg9cBvt,Language in the Flow of Time: Time-Series-Paired Texts Weaved into a Unified Temporal Narrative,0.99,56.0,,"time series, forecasting, temporal"
time_series_sequential,Time Series & Sequential Modeling,3,H27kvyG4qf,When Foundation Models are One-Liners: Limitations and Future Directions for Time Series Anomaly Detection,0.99,53.0,,"time series, forecasting, anomaly detection"
time_series_sequential,Time Series & Sequential Modeling,4,NXThkM7Iym,PaAno: Patch-Based Representation Learning for Time-Series Anomaly Detection,0.99,42.8,,"time series, temporal, anomaly detection"
time_series_sequential,Time Series & Sequential Modeling,5,rBt9aW3Mx7,Complexity- and Statistics-Guided Anomaly Detection in Time Series Foundation Models,0.99,39.2,,"time series, forecasting, anomaly detection"
time_series_sequential,Time Series & Sequential Modeling,6,kOIclg7muL,TimeOmni-1: Incentivizing Complex Reasoning with Time Series in Large Language Models,0.99,37.0,llm_reasoning_agents,"time series, forecasting"
time_series_sequential,Time Series & Sequential Modeling,7,4IPIhOgVqz,DoFlow: Flow-based Generative Models for Interventional and Counterfactual Forecasting on Time Series,0.99,34.3,,"time series, forecasting, anomaly detection"
time_series_sequential,Time Series & Sequential Modeling,8,MDRp9XhGtS,TIMESLIVER : SYMBOLIC-LINEAR DECOMPOSITION FOR EXPLAINABLE TIME SERIES CLASSIFICATION,0.99,33.6,,"time series, temporal, sequential"
time_series_sequential,Time Series & Sequential Modeling,9,iAPSx90gwJ,UNDERSTANDING TRANSFORMERS FOR TIME SERIES FORECASTING: A CASE STUDY ON MOIRAI,0.99,33.5,,"time series, forecasting, anomaly detection"
time_series_sequential,Time Series & Sequential Modeling,10,5YXccEP6uc,SciTS: Scientific Time Series Understanding and Generation with LLMs,0.99,32.6,llm_reasoning_agents,"time series, forecasting, temporal"
