state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
Wait,A,Deformable Gaussian Occupancy: Decoupling Rigid and Nonrigid Motion with Factorized Distillation,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Gao_Deformable_Gaussian_Occupancy_Decoupling_Rigid_and_Nonrigid_Motion_with_Factorized_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=30 | reasons=4d_representation,dynamic_spacetime | ds_review=keep",
Wait,B,AeroDGS: Physically Consistent Dynamic Gaussian Splatting for Single-Sequence Aerial 4D Reconstruction,CVPR 2026,,https://arxiv.org/abs/2602.22376,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",
Wait,B,Catalyst4D: High-Fidelity 3D-to-4D Scene Editing via Dynamic Propagation,CVPR 2026,,https://arxiv.org/abs/2603.12766,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",
Wait,B,ClipGStream: Clip-Stream Gaussian Splatting for Any Length and Any Motion Multi-View Dynamic Scene Reconstruction,CVPR 2026,,https://arxiv.org/abs/2604.13746,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,4d_task,dynamic_spacetime | ds_review=keep",
Wait,B,Complet4R: Geometric Complete 4D Reconstruction,CVPR 2026,,https://arxiv.org/abs/2603.27300,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,explicit_4d | ds_review=keep",
Wait,B,Consistent Instance Field for Dynamic Scene Understanding,CVPR 2026,,https://arxiv.org/abs/2512.14126,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime | ds_review=keep",
Wait,B,DetAny4D: Detect Anything 4D Temporally in a Streaming RGB Video,CVPR 2026,,https://arxiv.org/abs/2511.18814,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=dynamic_spacetime,explicit_4d | ds_review=keep",
Wait,B,DGGT: Feedforward 4D Reconstruction of Dynamic Driving Scenes using Unposed Images,CVPR 2026,,https://arxiv.org/abs/2512.03004,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",
Wait,B,Differentiable Adaptive 4D Structured Illumination for Joint Capture of Shape and Reflectance,CVPR 2026,,https://arxiv.org/abs/2605.06214,CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=explicit_4d | ds_review=keep,
Wait,B,DynamicVGGT: Learning Dynamic Point Maps for 4D Scene Reconstruction in Autonomous Driving,CVPR 2026,,https://arxiv.org/abs/2603.08254,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",
Wait,B,FastEventDGS: Deformable Gaussian Splatting for Fast Dynamic Scenes from a Single Event Camera,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Dai_FastEventDGS_Deformable_Gaussian_Splatting_for_Fast_Dynamic_Scenes_from_a_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,dynamic_spacetime | ds_review=keep",
Wait,B,Flow4DGS-SLAM: Optical Flow-Guided 4D Gaussian Splatting SLAM,CVPR 2026,,https://arxiv.org/abs/2604.22339,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,explicit_4d | ds_review=keep",
Wait,B,GeoWorld: Geometric World Models,CVPR 2026,,https://arxiv.org/abs/2602.23058,CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=world_modeling | ds_review=keep,
Wait,B,GP-4DGS: Probabilistic 4D Gaussian Splatting from Monocular Video via Variational Gaussian Processes,CVPR 2026,,https://arxiv.org/abs/2604.02915,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,explicit_4d | ds_review=keep",
Wait,B,Inferring Compositional 4D Scenes without Ever Seeing One,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Gokmen_Inferring_Compositional_4D_Scenes_without_Ever_Seeing_One_CVPR_2026_paper.html,CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=explicit_4d | ds_review=keep,
Wait,B,LangField4D: Learning Identity-Adaptive and Spatio-Temporal Continuous 4D Language Fields for Dynamic Scenes,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Xu_LangField4D_Learning_Identity-Adaptive_and_Spatio-Temporal_Continuous_4D_Language_Fields_for_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=dynamic_spacetime,explicit_4d | ds_review=keep",
Wait,B,LASER: Layer-wise Scale Alignment for Training-Free Streaming 4D Reconstruction,CVPR 2026,,https://arxiv.org/abs/2512.13680,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,explicit_4d | ds_review=keep",
Wait,B,Layered 4D-Rotor Gaussian Splatting: A Compressed Representation for Long Dynamic Scenes,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Xu_Layered_4D-Rotor_Gaussian_Splatting_A_Compressed_Representation_for_Long_Dynamic_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",
Wait,B,MAPo: Motion-Aware Partitioning of Deformable 3D Gaussian Splatting for High-Fidelity Dynamic Scene Reconstruction,CVPR 2026,,https://arxiv.org/abs/2508.19786,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,4d_task,dynamic_spacetime | ds_review=keep",
Wait,B,Mark4D: Temporally-Consistent Watermarking for 4D Gaussian Splatting,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Lee_Mark4D_Temporally-Consistent_Watermarking_for_4D_Gaussian_Splatting_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,dynamic_spacetime,explicit_4d | ds_review=keep",
Wait,B,Mesh4D: 4D Mesh Reconstruction and Tracking from Monocular Video,CVPR 2026,,https://arxiv.org/abs/2601.05251,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,explicit_4d | ds_review=keep",
Wait,B,MORE-STEM: Long-Short MemOry REcall and Spatio-TEmporal Consistency Model for Query-Driven 3D/4D Point Cloud Segmentation,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Li_MORE-STEM_Long-Short_MemOry_REcall_and_Spatio-TEmporal_Consistency_Model_for_Query-Driven_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",
Wait,B,MoRel: Long-Range Flicker-Free 4D Motion Modeling via Anchor Relay-based Bidirectioanl Blending with Hierarchical Densification,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Kwak_MoRel_Long-Range_Flicker-Free_4D_Motion_Modeling_via_Anchor_Relay-based_Bidirectioanl_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=dynamic_spacetime,explicit_4d | ds_review=keep",
Wait,B,MSCD-GS: Motion-Separated Cooperative Deblurring Dynamic Reconstruction via Gaussian Splatting,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Liao_MSCD-GS_Motion-Separated_Cooperative_Deblurring_Dynamic_Reconstruction_via_Gaussian_Splatting_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,4d_task,dynamic_spacetime | ds_review=keep",
Wait,B,Node-RF: Learning Generalized Continuous Space-Time Scene Dynamics with Neural ODE-based NeRFs,CVPR 2026,,https://arxiv.org/abs/2603.12078,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,dynamic_spacetime | ds_review=keep",
Wait,B,PackUV: Packed Gaussian UV Maps for 4D Volumetric Video,CVPR 2026,,https://arxiv.org/abs/2602.23040,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,explicit_4d | ds_review=keep",
Wait,B,Point4Cast: Streaming Dynamic Scene Reconstruction and Forecasting,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Liu_Point4Cast_Streaming_Dynamic_Scene_Reconstruction_and_Forecasting_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime | ds_review=keep",
Wait,B,REArtGS++: Generalizable Articulation Reconstruction with Temporal Geometry Constraint via Planar Gaussian Splatting,CVPR 2026,,https://arxiv.org/abs/2511.17059,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,4d_task,dynamic_spacetime | ds_review=keep",
Wait,B,ReFlow: Self-correction Motion Learning for Dynamic Scene Reconstruction,CVPR 2026,,https://arxiv.org/abs/2604.01561,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime | ds_review=keep",
Wait,B,ReScene4D: Temporally Consistent Semantic Instance Segmentation of Evolving Indoor 3D Scenes,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Steiner_ReScene4D_Temporally_Consistent_Semantic_Instance_Segmentation_of_Evolving_Indoor_3D_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime | ds_review=keep",
Wait,B,Revisiting Monocular SLAM with Spatio-Temporal Scene Modeling,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Piedade_Revisiting_Monocular_SLAM_with_Spatio-Temporal_Scene_Modeling_CVPR_2026_paper.html,CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=dynamic_spacetime | ds_review=keep,
Wait,B,SharpTimeGS: Sharp and Stable Dynamic Gaussian Splatting via Lifespan Modulation,CVPR 2026,,https://arxiv.org/abs/2602.02989,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,dynamic_spacetime | ds_review=keep",
Wait,B,SLARM: Streaming and Language-Aligned Reconstruction Model for Dynamic Scenes,CVPR 2026,,https://arxiv.org/abs/2603.22893,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime | ds_review=keep",
Wait,B,Space-Time Forecasting of Dynamic Scenes with Motion-aware Gaussian Grouping,CVPR 2026,,https://arxiv.org/abs/2602.21668,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,dynamic_spacetime | ds_review=keep",
Wait,B,SparseCam4D: Spatio-Temporally Consistent 4D Reconstruction from Sparse Cameras,CVPR 2026,,https://arxiv.org/abs/2603.26481,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",
Wait,B,ST4R-Splat: Spatio-Temporal Referring Segmentation in 4D Gaussian Splatting,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Meng_ST4R-Splat_Spatio-Temporal_Referring_Segmentation_in_4D_Gaussian_Splatting_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",
Wait,B,SV-GS: Sparse View 4D Reconstruction with Skeleton-Driven Gaussian Splatting,CVPR 2026,,https://arxiv.org/abs/2601.00285,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,4d_task,explicit_4d | ds_review=keep",
Wait,B,TraceGen: World Modeling in 3D Trace Space Enables Learning from Cross-Embodiment Videos,CVPR 2026,,https://arxiv.org/abs/2511.21690,CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=world_modeling | ds_review=keep,
Wait,B,V-DPM: 4D Video Reconstruction with Dynamic Point Maps,CVPR 2026,,https://arxiv.org/abs/2601.09499,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",
Wait,B,Velox: Learning Representations of 4D Geometry and Appearance,CVPR 2026,,https://arxiv.org/abs/2605.04527,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,explicit_4d | ds_review=keep",
Wait,B,Vista4D: Video Reshooting with 4D Point Clouds,CVPR 2026,,https://arxiv.org/abs/2604.21915,CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=explicit_4d | ds_review=keep,
