state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
Downloaded,A,Deformable Gaussian Occupancy: Decoupling Rigid and Nonrigid Motion with Factorized Distillation,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Gao_Deformable_Gaussian_Occupancy_Decoupling_Rigid_and_Nonrigid_Motion_with_Factorized_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=30 | reasons=4d_representation,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/Deformable_Gaussian_Occupancy:_Decoupling_Rigid_and_Nonrigid_Motion_with_Factorized_Distillation.pdf
Downloaded,B,AeroDGS: Physically Consistent Dynamic Gaussian Splatting for Single-Sequence Aerial 4D Reconstruction,CVPR 2026,,https://arxiv.org/abs/2602.22376,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/AeroDGS:_Physically_Consistent_Dynamic_Gaussian_Splatting_for_Single-Sequence_Aerial_4D_Reconstruction.pdf
Downloaded,B,Catalyst4D: High-Fidelity 3D-to-4D Scene Editing via Dynamic Propagation,CVPR 2026,,https://arxiv.org/abs/2603.12766,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/Catalyst4D:_High-Fidelity_3D-to-4D_Scene_Editing_via_Dynamic_Propagation.pdf
Downloaded,B,ClipGStream: Clip-Stream Gaussian Splatting for Any Length and Any Motion Multi-View Dynamic Scene Reconstruction,CVPR 2026,,https://arxiv.org/abs/2604.13746,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,4d_task,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/ClipGStream:_Clip-Stream_Gaussian_Splatting_for_Any_Length_and_Any_Motion_Multi-View_Dynamic_Scene_Reconstruction.pdf
Downloaded,B,Complet4R: Geometric Complete 4D Reconstruction,CVPR 2026,,https://arxiv.org/abs/2603.27300,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/Complet4R:_Geometric_Complete_4D_Reconstruction.pdf
Downloaded,B,Consistent Instance Field for Dynamic Scene Understanding,CVPR 2026,,https://arxiv.org/abs/2512.14126,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/Consistent_Instance_Field_for_Dynamic_Scene_Understanding.pdf
Downloaded,B,DetAny4D: Detect Anything 4D Temporally in a Streaming RGB Video,CVPR 2026,,https://arxiv.org/abs/2511.18814,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=dynamic_spacetime,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/DetAny4D:_Detect_Anything_4D_Temporally_in_a_Streaming_RGB_Video.pdf
Downloaded,B,DGGT: Feedforward 4D Reconstruction of Dynamic Driving Scenes using Unposed Images,CVPR 2026,,https://arxiv.org/abs/2512.03004,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/DGGT:_Feedforward_4D_Reconstruction_of_Dynamic_Driving_Scenes_using_Unposed_Images.pdf
Downloaded,B,Differentiable Adaptive 4D Structured Illumination for Joint Capture of Shape and Reflectance,CVPR 2026,,https://arxiv.org/abs/2605.06214,CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=explicit_4d | ds_review=keep,obsidian-vault/paperPDFs/CVPR_2026/Differentiable_Adaptive_4D_Structured_Illumination_for_Joint_Capture_of_Shape_and_Reflectance.pdf
Downloaded,B,DynamicVGGT: Learning Dynamic Point Maps for 4D Scene Reconstruction in Autonomous Driving,CVPR 2026,,https://arxiv.org/abs/2603.08254,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/DynamicVGGT:_Learning_Dynamic_Point_Maps_for_4D_Scene_Reconstruction_in_Autonomous_Driving.pdf
Downloaded,B,FastEventDGS: Deformable Gaussian Splatting for Fast Dynamic Scenes from a Single Event Camera,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Dai_FastEventDGS_Deformable_Gaussian_Splatting_for_Fast_Dynamic_Scenes_from_a_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/FastEventDGS:_Deformable_Gaussian_Splatting_for_Fast_Dynamic_Scenes_from_a_Single_Event_Camera.pdf
Downloaded,B,Flow4DGS-SLAM: Optical Flow-Guided 4D Gaussian Splatting SLAM,CVPR 2026,,https://arxiv.org/abs/2604.22339,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/Flow4DGS-SLAM:_Optical_Flow-Guided_4D_Gaussian_Splatting_SLAM.pdf
Downloaded,B,GeoWorld: Geometric World Models,CVPR 2026,,https://arxiv.org/abs/2602.23058,CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=world_modeling | ds_review=keep,obsidian-vault/paperPDFs/CVPR_2026/GeoWorld:_Geometric_World_Models.pdf
Downloaded,B,GP-4DGS: Probabilistic 4D Gaussian Splatting from Monocular Video via Variational Gaussian Processes,CVPR 2026,,https://arxiv.org/abs/2604.02915,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/GP-4DGS:_Probabilistic_4D_Gaussian_Splatting_from_Monocular_Video_via_Variational_Gaussian_Processes.pdf
Downloaded,B,Inferring Compositional 4D Scenes without Ever Seeing One,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Gokmen_Inferring_Compositional_4D_Scenes_without_Ever_Seeing_One_CVPR_2026_paper.html,CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=explicit_4d | ds_review=keep,obsidian-vault/paperPDFs/CVPR_2026/Inferring_Compositional_4D_Scenes_without_Ever_Seeing_One.pdf
Downloaded,B,LangField4D: Learning Identity-Adaptive and Spatio-Temporal Continuous 4D Language Fields for Dynamic Scenes,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Xu_LangField4D_Learning_Identity-Adaptive_and_Spatio-Temporal_Continuous_4D_Language_Fields_for_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=dynamic_spacetime,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/LangField4D:_Learning_Identity-Adaptive_and_Spatio-Temporal_Continuous_4D_Language_Fields_for_Dynamic_Scenes.pdf
Downloaded,B,LASER: Layer-wise Scale Alignment for Training-Free Streaming 4D Reconstruction,CVPR 2026,,https://arxiv.org/abs/2512.13680,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/LASER:_Layer-wise_Scale_Alignment_for_Training-Free_Streaming_4D_Reconstruction.pdf
Downloaded,B,Layered 4D-Rotor Gaussian Splatting: A Compressed Representation for Long Dynamic Scenes,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Xu_Layered_4D-Rotor_Gaussian_Splatting_A_Compressed_Representation_for_Long_Dynamic_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/Layered_4D-Rotor_Gaussian_Splatting:_A_Compressed_Representation_for_Long_Dynamic_Scenes.pdf
Downloaded,B,MAPo: Motion-Aware Partitioning of Deformable 3D Gaussian Splatting for High-Fidelity Dynamic Scene Reconstruction,CVPR 2026,,https://arxiv.org/abs/2508.19786,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,4d_task,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/MAPo:_Motion-Aware_Partitioning_of_Deformable_3D_Gaussian_Splatting_for_High-Fidelity_Dynamic_Scene_Reconstruction.pdf
Downloaded,B,Mark4D: Temporally-Consistent Watermarking for 4D Gaussian Splatting,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Lee_Mark4D_Temporally-Consistent_Watermarking_for_4D_Gaussian_Splatting_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,dynamic_spacetime,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/Mark4D:_Temporally-Consistent_Watermarking_for_4D_Gaussian_Splatting.pdf
Downloaded,B,Mesh4D: 4D Mesh Reconstruction and Tracking from Monocular Video,CVPR 2026,,https://arxiv.org/abs/2601.05251,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/Mesh4D:_4D_Mesh_Reconstruction_and_Tracking_from_Monocular_Video.pdf
Downloaded,B,MORE-STEM: Long-Short MemOry REcall and Spatio-TEmporal Consistency Model for Query-Driven 3D/4D Point Cloud Segmentation,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Li_MORE-STEM_Long-Short_MemOry_REcall_and_Spatio-TEmporal_Consistency_Model_for_Query-Driven_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/MORE-STEM:_Long-Short_MemOry_REcall_and_Spatio-TEmporal_Consistency_Model_for_Query-Driven_3D/4D_Point_Cloud_Segmentation.pdf
Downloaded,B,MoRel: Long-Range Flicker-Free 4D Motion Modeling via Anchor Relay-based Bidirectioanl Blending with Hierarchical Densification,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Kwak_MoRel_Long-Range_Flicker-Free_4D_Motion_Modeling_via_Anchor_Relay-based_Bidirectioanl_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=dynamic_spacetime,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/MoRel:_Long-Range_Flicker-Free_4D_Motion_Modeling_via_Anchor_Relay-based_Bidirectioanl_Blending_with_Hierarchical_Densification.pdf
Downloaded,B,MSCD-GS: Motion-Separated Cooperative Deblurring Dynamic Reconstruction via Gaussian Splatting,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Liao_MSCD-GS_Motion-Separated_Cooperative_Deblurring_Dynamic_Reconstruction_via_Gaussian_Splatting_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,4d_task,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/MSCD-GS:_Motion-Separated_Cooperative_Deblurring_Dynamic_Reconstruction_via_Gaussian_Splatting.pdf
Downloaded,B,Node-RF: Learning Generalized Continuous Space-Time Scene Dynamics with Neural ODE-based NeRFs,CVPR 2026,,https://arxiv.org/abs/2603.12078,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/Node-RF:_Learning_Generalized_Continuous_Space-Time_Scene_Dynamics_with_Neural_ODE-based_NeRFs.pdf
Downloaded,B,PackUV: Packed Gaussian UV Maps for 4D Volumetric Video,CVPR 2026,,https://arxiv.org/abs/2602.23040,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/PackUV:_Packed_Gaussian_UV_Maps_for_4D_Volumetric_Video.pdf
Downloaded,B,Point4Cast: Streaming Dynamic Scene Reconstruction and Forecasting,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Liu_Point4Cast_Streaming_Dynamic_Scene_Reconstruction_and_Forecasting_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/Point4Cast:_Streaming_Dynamic_Scene_Reconstruction_and_Forecasting.pdf
Downloaded,B,REArtGS++: Generalizable Articulation Reconstruction with Temporal Geometry Constraint via Planar Gaussian Splatting,CVPR 2026,,https://arxiv.org/abs/2511.17059,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,4d_task,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/REArtGS++:_Generalizable_Articulation_Reconstruction_with_Temporal_Geometry_Constraint_via_Planar_Gaussian_Splatting.pdf
Downloaded,B,ReFlow: Self-correction Motion Learning for Dynamic Scene Reconstruction,CVPR 2026,,https://arxiv.org/abs/2604.01561,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/ReFlow:_Self-correction_Motion_Learning_for_Dynamic_Scene_Reconstruction.pdf
Downloaded,B,ReScene4D: Temporally Consistent Semantic Instance Segmentation of Evolving Indoor 3D Scenes,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Steiner_ReScene4D_Temporally_Consistent_Semantic_Instance_Segmentation_of_Evolving_Indoor_3D_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/ReScene4D:_Temporally_Consistent_Semantic_Instance_Segmentation_of_Evolving_Indoor_3D_Scenes.pdf
Downloaded,B,Revisiting Monocular SLAM with Spatio-Temporal Scene Modeling,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Piedade_Revisiting_Monocular_SLAM_with_Spatio-Temporal_Scene_Modeling_CVPR_2026_paper.html,CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=dynamic_spacetime | ds_review=keep,obsidian-vault/paperPDFs/CVPR_2026/Revisiting_Monocular_SLAM_with_Spatio-Temporal_Scene_Modeling.pdf
Downloaded,B,SharpTimeGS: Sharp and Stable Dynamic Gaussian Splatting via Lifespan Modulation,CVPR 2026,,https://arxiv.org/abs/2602.02989,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/SharpTimeGS:_Sharp_and_Stable_Dynamic_Gaussian_Splatting_via_Lifespan_Modulation.pdf
Downloaded,B,SLARM: Streaming and Language-Aligned Reconstruction Model for Dynamic Scenes,CVPR 2026,,https://arxiv.org/abs/2603.22893,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/SLARM:_Streaming_and_Language-Aligned_Reconstruction_Model_for_Dynamic_Scenes.pdf
Downloaded,B,Space-Time Forecasting of Dynamic Scenes with Motion-aware Gaussian Grouping,CVPR 2026,,https://arxiv.org/abs/2602.21668,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,dynamic_spacetime | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/Space-Time_Forecasting_of_Dynamic_Scenes_with_Motion-aware_Gaussian_Grouping.pdf
Downloaded,B,SparseCam4D: Spatio-Temporally Consistent 4D Reconstruction from Sparse Cameras,CVPR 2026,,https://arxiv.org/abs/2603.26481,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/SparseCam4D:_Spatio-Temporally_Consistent_4D_Reconstruction_from_Sparse_Cameras.pdf
Downloaded,B,ST4R-Splat: Spatio-Temporal Referring Segmentation in 4D Gaussian Splatting,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Meng_ST4R-Splat_Spatio-Temporal_Referring_Segmentation_in_4D_Gaussian_Splatting_CVPR_2026_paper.html,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/ST4R-Splat:_Spatio-Temporal_Referring_Segmentation_in_4D_Gaussian_Splatting.pdf
Downloaded,B,SV-GS: Sparse View 4D Reconstruction with Skeleton-Driven Gaussian Splatting,CVPR 2026,,https://arxiv.org/abs/2601.00285,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_representation,4d_task,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/SV-GS:_Sparse_View_4D_Reconstruction_with_Skeleton-Driven_Gaussian_Splatting.pdf
Downloaded,B,TraceGen: World Modeling in 3D Trace Space Enables Learning from Cross-Embodiment Videos,CVPR 2026,,https://arxiv.org/abs/2511.21690,CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=world_modeling | ds_review=keep,obsidian-vault/paperPDFs/CVPR_2026/TraceGen:_World_Modeling_in_3D_Trace_Space_Enables_Learning_from_Cross-Embodiment_Videos.pdf
Downloaded,B,V-DPM: 4D Video Reconstruction with Dynamic Point Maps,CVPR 2026,,https://arxiv.org/abs/2601.09499,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,dynamic_spacetime,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/V-DPM:_4D_Video_Reconstruction_with_Dynamic_Point_Maps.pdf
Downloaded,B,Velox: Learning Representations of 4D Geometry and Appearance,CVPR 2026,,https://arxiv.org/abs/2605.04527,"CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=4d_task,explicit_4d | ds_review=keep",obsidian-vault/paperPDFs/CVPR_2026/Velox:_Learning_Representations_of_4D_Geometry_and_Appearance.pdf
Downloaded,B,Vista4D: Video Reshooting with 4D Point Clouds,CVPR 2026,,https://arxiv.org/abs/2604.21915,CVPR_2026_4d_supplement_20260612 | 3D Vision / Geometry / Reconstruction | score=22 | reasons=explicit_4d | ds_review=keep,obsidian-vault/paperPDFs/CVPR_2026/Vista4D:_Video_Reshooting_with_4D_Point_Clouds.pdf
