root_id,root_label,subtopic_id,subtopic_label,subtopic_source,paper_count,example_titles
optimization_theory_probabilistic,"Optimization, Theory & Probabilistic ML",learning_theory,Learning Theory,official_virtual_topic,139,A Near-Optimal Best-of-Both-Worlds Algorithm for Federated Bandits | A Recovery Guarantee for Sparse Neural Networks | A Representer Theorem for Hawkes Processes via Penalized Least Squares Minimization | A Statistical Theory of Overfitting for Imbalanced Classification | A Theoretical Analysis of Mamba’s Training Dynamics: Filtering Relevant Features for Generalization in State Space Models
safety_alignment_fairness_privacy,"Safety, Alignment, Fairness & Privacy",trustworthy_machine_learning,Trustworthy Machine Learning,official_virtual_topic,138,A Guardrail for Safety Preservation: When Safety-Sensitive Subspace Meets Harmful-Resistant Null-Space | A Unified Total Variation Framework for Membrane Potential Perturbation Dynamic | AbsTopK: Rethinking Sparse Autoencoders For Bidirectional Features | AdvChain: Adversarial Chain-of-Thought Tuning for Robust Safety Alignment of Large Reasoning Models | Adversarial Déjà Vu: Jailbreak Dictionary Learning for Stronger Generalization to Unseen Attacks
safety_alignment_fairness_privacy,"Safety, Alignment, Fairness & Privacy",fairness_equity_justice_and_safety,"Fairness, Equity, Justice and Safety",official_virtual_topic,135,"A Fair Bayesian Inference through Matched Gibbs Posterior | A2D: Any-Order, Any-Step Safety Alignment for Diffusion Language Models | AdAEM: An Adaptively and Automated Extensible Measurement of LLMs' Value Difference | Adaptive Attacks on Trusted Monitors Subvert AI Control Protocols | Adaptive Logit Adjustment for Debiasing Multimodal Language Models"
vision_multimodal_applications,Vision / Multimodal Applications,3d_rendering_reconstruction,3D Rendering & Reconstruction,official_virtual_topic,114,$\pi^3$: Permutation-Equivariant Visual Geometry Learning | 3DGEER: 3D Gaussian Rendering Made Exact and Efficient for Generic Cameras | A Scene is Worth a Thousand Features: Feed-Forward Camera Localization from a Collection of Image Features | A Step to Decouple Optimization in 3DGS | A^2TG: Adaptive Anisotropic Textured Gaussians for Efficient 3D Scene Representation
vision_multimodal_applications,Vision / Multimodal Applications,neuroscience_cognitive_science,"Neuroscience, Cognitive Science",official_virtual_topic,105,A Biologically Plausible Dense Associative Memory with Exponential Capacity | A Brain-Inspired Gating Mechanism Unlocks Robust Computation in Spiking Neural Networks | A Cognitive Process-Inspired Architecture for Subject-Agnostic Brain Visual Decoding | A cross-species neural foundation model for end-to-end speech decoding | A foundation model with multi-variate parallel attention to generate neuronal activity
vision_multimodal_applications,Vision / Multimodal Applications,time_series,Time Series,official_virtual_topic,97,A General Spatio-Temporal Backbone with Scalable Contextual Pattern Bank for Urban Continual Forecasting | Adapt Data to Model: Adaptive Transformation Optimization for Domain-shared Time Series Foundation Models | Adaptive Conformal Anomaly Detection with Time Series Foundation Models for Signal Monitoring. | Are Global Dependencies Necessary? Scalable Time Series Forecasting via Local Cross-Variate Modeling | ARROW: An Adaptive Rollout and Routing Method for Global Weather Forecasting
safety_alignment_fairness_privacy,"Safety, Alignment, Fairness & Privacy",accountability_transparency_and_interpretability,"Accountability, Transparency and Interpretability",official_virtual_topic,95,"A Framework for Studying AI Agent Behavior: Evidence from Consumer Choice Experiments | All Code, No Thought: Language Models Struggle to Reason in Ciphered Language | ASGuard: Activation-Scaling Guard to Mitigate Targeted Jailbreaking Attack | Attributing Response to Context: A Jensen–Shannon Divergence Driven Mechanistic Study of Context Attribution in Retrieval-Augmented Generation | Attribution-Guided Decoding"
vision_multimodal_applications,Vision / Multimodal Applications,chemistry_and_drug_discovery,Chemistry and Drug Discovery,official_virtual_topic,89,A Function-Centric Graph Neural Network Approach for Predicting Electron Densities | A Genetic Algorithm for Navigating Synthesizable Molecular Spaces | Align Your Structures: Generating Trajectories with Structure Pretraining for Molecular Dynamics | ATOM: A Pretrained Neural Operator for Multitask Molecular Dynamics | Bayesian Post Training Enhancement of Regression Models with Calibrated Rankings
generative_models_diffusion,Generative Models & Diffusion,graph_neural_networks,Graph Neural Networks,official_virtual_topic,83,: One LLM Token for Explicit Graph Structural Understanding | A Graph Meta-Network for Learning on Kolmogorov–Arnold Networks | A Scalable Inter-edge Correlation Modeling in CopulaGNN for Link Sign Prediction | Adaptive Canonicalization with Application to Invariant Anisotropic Geometric Networks | Adaptive Mixture of Disentangled Experts for Dynamic Graph Out-of-Distribution Generalization
generative_models_diffusion,Generative Models & Diffusion,attention_mechanisms,Attention Mechanisms,official_virtual_topic,78,A State-Transition Framework for Efficient LLM Reasoning | Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models | Attend to the Active: Structure-Aware Dynamic Attention in LLMs for Compositional Instruction Following | Attention Sinks and Compression Valleys in LLMs are Two Sides of the Same Coin | Bayesian Attention Mechanism: A Probabilistic Framework for Positional Encoding and Context Length Extrapolation
representation_self_supervised_transfer,"Representation, Self-Supervision & Transfer",transfer_multitask_and_meta_learning,"Transfer, Multitask and Meta-learning",official_virtual_topic,78,A Study on PAVE Specification for Learnware | A Unified Federated Framework for Trajectory Data Preparation via LLMs | ABBA-Adapters: Efficient and Expressive Fine-Tuning of Foundation Models | AdaRank: Adaptive Rank Pruning for Enhanced Model Merging | An evolutionary perspective on modes of learning in Transformers
vision_multimodal_applications,Vision / Multimodal Applications,language_speech_dialog,"Language, Speech & Dialog Applications",keyword_refinement,77,A Dense Subset Index for Collective Query Coverage | A Problem-Oriented Perspective and Anchor Verification for Code Optimization | AetherCode: Evaluating LLMs’ Ability to Win In Premier Programming Competitions | AgentSynth: Scalable Task Generation for Generalist Computer-Use Agents | Agnostics: Learning to Synthesize Code in Any Programming Language with a Universal Reinforcement Learning Environment
optimization_theory_probabilistic,"Optimization, Theory & Probabilistic ML",interpretability_and_visualization,Interpretability and Visualization,official_virtual_topic,70,"A Hidden Semantic Bottleneck in Conditional Embeddings of Diffusion Transformers | ACE: Attribution-Controlled Knowledge Editing for Multi-hop Factual Recall | Aligner, Diagnose Thyself: A Meta-Learning Paradigm for Fusing Intrinsic Feedback in Preference Alignment | An Information-Theoretic Parameter-Free Bayesian Framework for Probing Labeled Dependency Trees from Attention Score | Automated Interpretability Metrics Do Not Distinguish Trained and Random Transformers"
vision_multimodal_applications,Vision / Multimodal Applications,vision_multimodal,Vision Models & Multimodal,keyword_refinement,65,AdPO: Enhancing the Adversarial Robustness of Large Vision-Language Models with Preference Optimization | AlphaSAGE: Structure-Aware Alpha Mining via GFlowNets for Robust Exploration | Asymmetric Synthetic Data Update for Domain Incremental Dataset Distillation | Aurelius: Relation Aware Text-to-Audio Generation At Scale | AutoGPS: Automated Geometry Problem Solving via Multimodal Formalization and Deductive Reasoning
benchmarks_datasets_evaluation,"Benchmarks, Datasets & Evaluation",benchmark_eval,Benchmarks & Evaluation,keyword_refinement,62,$PhyWorldBench$: A Comprehensive Evaluation of Physical Realism in Text-to-Video Models | 3DCS: Datasets and Benchmark for Evaluating Conformational Sensitivity in Molecular Representations | A High Quality Dataset and Reliable Evaluation for Interleaved Image-Text Generation | AMemGym: Interactive Memory Benchmarking for Assistants in Long-Horizon Conversations | AudioTrust: Benchmarking The Multifaceted Trustworthiness of Audio Large Language Models
optimization_theory_probabilistic,"Optimization, Theory & Probabilistic ML",optimization_methods,Optimization Methods,keyword_refinement,62,A Tale of Two Geometries: Adaptive Optimizers and Non-Euclidean Descent | AdaCache: Adaptive Caching and Context Augmentation for Efficient LLM Serving | Adaptive Methods Are Preferable in High Privacy Settings: An SDE Perspective | Adaptive Regularization for Large-Scale Sparse Feature Embedding Models | Arbitrary-Order Block SignSGD for Memory-Efficient LLM Fine-Tuning
vision_multimodal_applications,Vision / Multimodal Applications,physics,Physics,official_virtual_topic,60,A Schrödinger Eigenfunction Method for Long-Horizon Stochastic Optimal Control | A Spectral-Grassmann Wasserstein metric for operator representations of dynamical systems | Accelerating Eigenvalue Dataset Generation via Chebyshev Subspace Filter | Accelerating Inference for Multilayer Neural Networks with Quantum Computers | Adaptive Mamba Neural Operators
generative_models_diffusion,Generative Models & Diffusion,robustness,Robustness,official_virtual_topic,57,A Benchmark for Deep Information Synthesis | AP-OOD: Attention Pooling for Out-of- Distribution Detection | Are Deep Speech Denoising Models Robust to Adversarial Noise? | Are Reasoning LLMs Robust to Interventions on their Chain-of-Thought? | Bilateral Information-aware Test-time Adaptation for Vision-Language Models
generative_models_diffusion,Generative Models & Diffusion,theory,Theory,official_virtual_topic,57,$\mathbf{Li_2}$: A Framework on Dynamics of Feature Emergence and Delayed Generalization | A New Initialization to Control Gradients in Sinusoidal Neural Networks | A universal compression theory for lottery ticket hypothesis and neural scaling laws | AIRE-Prune: Asymptotic Impulse-Response Energy for State Pruning in State Space Models | Beyond Spectra: Eigenvector Overlaps in Loss Geometry
reinforcement_learning_planning_agents,"Reinforcement Learning, Planning & Agents",multi_agent,Multi-agent,official_virtual_topic,55,"Adaptive Collaboration with Humans: Metacognitive Policy Optimization for Multi-Agent LLMs with Continual Learning | AgentPO: Enhancing Multi-Agent Collaboration via Reinforcement Learning | Aligned Agents, Biased Swarm: Measuring Bias Amplification in Multi-Agent Systems | Bayesian Robust Cooperative Multi-Agent Reinforcement Learning Against Unknown Adversaries | Best-of-Infinity: Asymptotic Performance of Test-Time LLM Ensembling"
vision_multimodal_applications,Vision / Multimodal Applications,health,Health,official_virtual_topic,52,"A Structured, Tagged, and Localized Visual Question Answering Dataset with Full Sentence Answers and Scene Graphs for Chest X-ray Images | AbdCTBench: Learning Clinical Biomarker Representations from Abdominal Surface Geometry | AnesSuite: A Comprehensive Benchmark and Dataset Suite for Anesthesiology Reasoning in LLMs | Automatic and Structure-Aware Sparsification of Hybrid Neural ODEs with Application to Glucose Prediction | BAH Dataset for Ambivalence/Hesitancy Recognition in Videos for Digital Behavioural Change"
safety_alignment_fairness_privacy,"Safety, Alignment, Fairness & Privacy",privacy_preserving_statistics_and_machine_learning,Privacy-preserving Statistics and Machine Learning,official_virtual_topic,51,"A Bayesian Nonparametric Framework for Private, Fair, and Balanced Tabular Data Synthesis | A Law of Data Reconstruction for Random Features (And Beyond) | Back to Square Roots: An Optimal Bound on the Matrix Factorization Error for Multi-Epoch Differentially Private SGD | Benchmarking Empirical Privacy Protection for Adaptations of Large Language Models | Beyond Membership: Limitations of Add/Remove Adjacency in Differential Privacy"
representation_self_supervised_transfer,"Representation, Self-Supervision & Transfer",probabilistic_methods,Probabilistic Methods,official_virtual_topic,49,$p\textrm{-less}$ Sampling: A Robust Hyperparameter-Free Approach for LLM Decoding | A Minimum Variance Path Principle for Accurate and Stable Score-Based Density Ratio Estimation | Accelerated Parallel Tempering via Neural Transports | Addressing Pitfalls in the Evaluation of Uncertainty Estimation Methods for Natural Language Generation | AI-for-Science Low-code Platform with Bayesian Adversarial Multi-Agent Framework
vision_multimodal_applications,Vision / Multimodal Applications,classification_and_understanding,Classification and Understanding,official_virtual_topic,49,"3DSMT: A Hybrid Spiking Mamba-Transformer for Point Cloud Analysis | Action-Guided Attention for Video Action Anticipation | Adaptive Gaussian Expansion for On-the-fly Category Discovery | All Patches Matter, More Patches Better: Enhance AI-Generated Image Detection via Panoptic Patch Learning | ASCIIEval: Benchmarking Models' Visual Perception in Text Strings via ASCII Art"
reinforcement_learning_planning_agents,"Reinforcement Learning, Planning & Agents",batch_offline,Batch/Offline,official_virtual_topic,48,Action-Free Offline-To-Online RL via Discretised State Policies | Adaptive Scaling of Policy Constraints for Offline Reinforcement Learning | ADM-v2: Pursuing Full-Horizon Roll-out in Dynamics Models for Offline Policy Learning and Evaluation | APC-RL: Exceeding data-driven behavior priors with adaptive policy composition | Bayes Adaptive Monte Carlo Tree Search for Offline Model-based Reinforcement Learning
representation_self_supervised_transfer,"Representation, Self-Supervision & Transfer",causality,Causality,official_virtual_topic,48,A Relative Error-Based Evaluation Framework of Heterogeneous Treatment Effect Estimators | ActiveCQ: Active Estimation of Causal Quantities | Adjusting Prediction Model Through Wasserstein Geodesic for Causal Inference | ALM-MTA: Front-Door Causal Multi-Touch Attribution Method for Creator-Ecosystem Optimization | An Orthogonal Learner for Individualized Outcomes in Markov Decision Processes
vision_multimodal_applications,Vision / Multimodal Applications,genetics_cell_biology_health_etc,"Genetics, Cell Biology, Health, etc",official_virtual_topic,47,A Joint Diffusion Model with Pre-Trained Priors for RNA Sequence-Structure Co-Design | A New Paradigm for Genome-wide DNA Methylation Prediction Without Methylation Input | A Resolution-Agnostic Geometric Transformer for Chromosome Modeling Using Inertial Frame | Adaptive Data-Knowledge Alignment in Genetic Perturbation Prediction | AntigenLM: Structure-Aware DNA Language Modeling for Influenza
generative_models_diffusion,Generative Models & Diffusion,molecular_generation,Molecular / Scientific Generation,keyword_refinement,46,Batch Pruning by Activation Stability | Beyond Linear Processing: Dendritic Bilinear Integration in Spiking Neural Networks | Beyond URLs: Metadata Diversity and Position for Efficient LLM Pretraining | Composable Sparse Subnetworks via Maximum-Entropy Principle | Compositional Generalization from Learned Skills via CoT Training: A Theoretical and Structural Analysis for Reasoning
optimization_theory_probabilistic,"Optimization, Theory & Probabilistic ML",learning_for_optimization,Learning for Optimization,official_virtual_topic,41,$\mu$LO: Compute-Efficient Meta-Generalization of Learned Optimizers | Align-SAM: Seeking Flatter Minima for Better Cross-Subset Alignment | AutoEP: LLMs-Driven Automation of Hyperparameter Evolution for Metaheuristic Algorithms | Beyond the Heatmap: A Rigorous Evaluation of Component Impact in MCTS-Based TSP Solvers | CALM: Co-evolution of Algorithms and Language Model for Automatic Heuristic Design
vision_multimodal_applications,Vision / Multimodal Applications,computer_vision_task,Computer Vision Tasks,keyword_refinement,37,Automatic Stage Lighting Control: Is it a Rule-Driven Process or Generative Task? | AVEX: What Matters for Animal Vocalization Encoding | Benchmarking Open-ended Segmentation | BioTamperNet: Affinity-Guided State-Space Model Detecting Tampered Biomedical Images | Comparing AI Agents to Cybersecurity Professionals in Real-World Penetration Testing
optimization_theory_probabilistic,"Optimization, Theory & Probabilistic ML",large_scale_parallel_and_distributed,"Large Scale, Parallel and Distributed",official_virtual_topic,35,A Memory-Efficient Hierarchical Algorithm for Large-scale Optimal Transport Problems | A Scalable Distributed Framework for Multimodal GigaVoxel Image Registration | Birch SGD: A Tree Graph Framework for Local and Asynchronous SGD Methods | Bridging Generalization Gap of Heterogeneous Federated Clients Using Generative Models | Byzantine-Robust Federated Learning with Learnable Aggregation Weights
optimization_theory_probabilistic,"Optimization, Theory & Probabilistic ML",probabilistic_methods,Probabilistic Methods,official_virtual_topic,34,``Noisier'’ Noise Contrastive Estimation is (Almost) Maximum Likelihood | A Derandomization Framework for Structure Discovery: Applications in Neural Networks and Beyond | Almost Bayesian: Dynamics of SGD Through Singular Learning Theory | An Optimal Diffusion Approach to Quadratic Rate-Distortion Problems: New Solution and Approximation Methods | Asynchronous Matching with Dynamic Sampling for Multimodal Dataset Distillation
reinforcement_learning_planning_agents,"Reinforcement Learning, Planning & Agents",online,Online,official_virtual_topic,34,All Roads Lead to Likelihood: The Value of Reinforcement Learning in Fine-Tuning | Beyond Distributions: Geometric Action Control for Continuous Reinforcement Learning | Beyond Noisy-TVs: Noise-Robust Exploration Via Learning Progress Monitoring | Co-rewarding: Stable Self-supervised RL for Eliciting Reasoning in Large Language Models | Combinatorial Rising Bandits
optimization_theory_probabilistic,"Optimization, Theory & Probabilistic ML",optimization,Optimization,official_virtual_topic,31,A Scalable Constant-Factor Approximation Algorithm for $W_p$ Optimal Transport | Adaptive gradient descent on Riemannian manifolds and its applications to Gaussian variational inference | Ads that Stick: Near-Optimal Ad Optimization through Psychological Behavior Models | Better Learning-Augmented Spanning Tree Algorithms via Metric Forest Completion | Beyond Short Steps in Frank-Wolfe Algorithms
optimization_theory_probabilistic,"Optimization, Theory & Probabilistic ML",reinforcement_learning_and_planning,Reinforcement Learning and Planning,official_virtual_topic,30,"A New Approach to Controlling Linear Dynamical Systems | A Unifying View of Coverage in Linear Off-policy Evaluation | ACPBench Hard: Unrestrained Reasoning about Action, Change, and Planning | Action Chunking and Data Augmentation Yield Exponential Improvements in Behavior Cloning for Continuous Spaces | An Improved Model-free Decision-estimation Coefficient with Applications in Adversarial MDPs"
reinforcement_learning_planning_agents,"Reinforcement Learning, Planning & Agents",planning,Planning,official_virtual_topic,30,ATGen: Adversarial Reinforcement Learning for Test Case Generation | Automating the Refinement of Reinforcement Learning Specifications | Code Driven Planning with Domain-Adaptive Selector | Enhancing Language Model Reasoning with Structured Multi-Level Modeling | ExoPredicator: Learning Abstract Models of Dynamic Worlds for Robot Planning
vision_multimodal_applications,Vision / Multimodal Applications,vision_3d,"3D Vision, Reconstruction & Rendering",keyword_refinement,30,Animating the Uncaptured: Humanoid Mesh Animation with Video Diffusion Models | Anime-Ready: Controllable 3D Anime Character Generation with Body-Aligned Component-Wise Garment Modeling | Bridging Piano Transcription and Rendering via Disentangled Score Content and Style | Distributional Consistency Loss: Beyond Pointwise Data Terms in Inverse Problems | Energy-oriented Diffusion Bridge for Image Restoration with Foundational Diffusion Models
optimization_theory_probabilistic,"Optimization, Theory & Probabilistic ML",domain_adaptation_and_transfer_learning,Domain Adaptation and Transfer Learning,official_virtual_topic,28,Activation Function Design Sustains Plasticity in Continual Learning | Architecture-Agnostic Test-Time Adaptation via Backprop-Free Embedding Alignment | Barriers for Learning in an Evolving World: Mathematical Understanding of Loss of Plasticity | CGSA: Class-Guided Slot-Aware Adaptation for Source-Free Object Detection | Co-LoRA: Collaborative Model Personalization on Heterogeneous Multi-Modal Clients
optimization_theory_probabilistic,"Optimization, Theory & Probabilistic ML",non_convex,Non-Convex,official_virtual_topic,27,A Block Coordinate Descent Method for Nonsmooth Composite Optimization under Orthogonality Constraints | A Convergence Analysis of Adaptive Optimizers under Floating-point Quantization | A Physics-Inspired Optimizer: Velocity Regularized Adam | Bilevel Optimization with Lower-Level Uniform Convexity: Theory and Algorithm | Cautious Weight Decay
vision_multimodal_applications,Vision / Multimodal Applications,segmentation,Segmentation,official_virtual_topic,25,Adaptive Augmentation-Aware Latent Learning for Robust LiDAR Semantic Segmentation | Advancing Complex Video Object Segmentation via Progressive Concept Construction | ARINBEV: Bird's-Eye View Layout Estimation with Conditional Autoregressive Model | ASMIL: Attention-Stabilized Multiple Instance Learning for Whole-Slide Imaging | Cross-Timestep: 3D Diffusion Model with Trans-temporal Memory LSTM and Adaptive Priori Decoding Strategy for Medical Segmentation
safety_alignment_fairness_privacy,"Safety, Alignment, Fairness & Privacy",alignment_preference,Alignment & Preference Optimization,keyword_refinement,19,BANZ-FS: BANZSL Fingerspelling Dataset | Can Small Training Runs Reliably Guide Data Curation? Rethinking Proxy-Model Practice | Cost-of-Pass: An Economic Framework for Evaluating Language Models | Cultivating Pluralism In Algorithmic Monoculture: The Community Alignment Dataset | DIVERSE: Disagreement-Inducing Vector Evolution for Rashomon Set Exploration
optimization_theory_probabilistic,"Optimization, Theory & Probabilistic ML",game_theory,Game Theory,official_virtual_topic,17,A Faster Parameter-Free Regret Matching Algorithm | Bi-Criteria Metric Distortion | Code World Models for General Game Playing | COMAL: A Convergent Meta-Algorithm for Aligning LLMs with General Preferences | Computing Equilibrium beyond Unilateral Deviation
optimization_theory_probabilistic,"Optimization, Theory & Probabilistic ML",sampling_and_optimization,Sampling and Optimization,official_virtual_topic,17,A Sharp KL Convergence Analysis for Diffusion Models under Minimal Assumptions | Antislop: A Comprehensive Framework for Identifying and Eliminating Repetitive Patterns in Language Models | Beyond Fixed: Training-Free Variable-Length Denoising for Diffusion Large Language Models | Constrained Decoding of Diffusion LLMs with Context-Free Grammars | Efficient Approximate Posterior Sampling with Annealed Langevin Monte Carlo
optimization_theory_probabilistic,"Optimization, Theory & Probabilistic ML",zero_order_and_black_box_optimization,Zero-order and Black-box Optimization,official_virtual_topic,17,"Adaptive Acquisition Selection for Bayesian Optimization with Large Language Models | Beyond Magic Words: Sharpness-Aware Prompt Evolving for Robust Large Language Models with TARE | Converge Faster, Talk Less: Hessian-Informed Federated Zeroth-Order Optimization | Discount Model Search for Quality Diversity Optimization in High-Dimensional Measure Spaces | DR-Submodular Maximization with Stochastic Biased Gradients: Classical and Quantum Gradient Algorithms"
reinforcement_learning_planning_agents,"Reinforcement Learning, Planning & Agents",planning_control,Planning & Control,keyword_refinement,17,Accelerated Learning with Linear Temporal Logic using Differentiable Simulation | Ada-Diffuser: Latent-Aware Adaptive Diffusion for Decision-Making | Automated Stateful Specialization for Adaptive Agent Systems | Dichotomous Diffusion Policy Optimization | Efficient Morphology-Control Co-Design via Stackelberg Proximal Policy Optimization
generative_models_diffusion,Generative Models & Diffusion,generative_theory,Generative Modeling Theory,keyword_refinement,14,Causal-Steer: Disentangled Continuous Style Control without Parallel Corpora | Consis-GCPO: Consistency-Preserving Group Causal Preference Optimization for Vision Customization | Context Learning for Multi-Agent Discussion | Denoising Neural Reranker for Recommender Systems | Distillation of Large Language Models via Concrete Score Matching
vision_multimodal_applications,Vision / Multimodal Applications,climate,Climate,official_virtual_topic,13,BoreaRL: A Multi-Objective Reinforcement Learning Environment for Climate-Adaptive Boreal Forest Management | DeepPrim: a Physics-Driven 3D Short-term Weather Forecaster via Primitive Equation Learning | EarthSE: A Benchmark Evaluating Earth Scientific Exploration Capability for Large Language Models | Extreme Weather Nowcasting via Local Precipitation Pattern Prediction | FlowCast: Advancing Precipitation Nowcasting with Conditional Flow Matching
optimization_theory_probabilistic,"Optimization, Theory & Probabilistic ML",optimization_and_learning_under_uncertainty,Optimization and Learning under Uncertainty,official_virtual_topic,12,ATLAS: Alibaba Dataset and Benchmark for Learning-Augmented Scheduling | Conformal Robustness Control: A New Strategy for Robust Decision | Diffusion-DFL: Decision-focused Diffusion Models for Stochastic Optimization | Distributionally Robust Optimization via Generative Ambiguity Modeling | Generative Bayesian Optimization: Generative Models as Acquisition Functions
benchmarks_datasets_evaluation,"Benchmarks, Datasets & Evaluation",datasets,Datasets,keyword_refinement,11,CircuitNet 3.0: A Multi-Modal Dataset with Task-Oriented Augmentation for AI-Driven Circuit Design | InclusiveVidPose: Bridging the Pose Estimation Gap for Individuals with Limb Deficiencies in Video-Based Motion | MLE-Smith: Scaling MLE Tasks with Automated Multi-agent Pipeline | Nemotron-CC-Math: A 133 Billion-Token-Scale High Quality Math Pretraining Dataset | PersonaX: Multimodal Datasets with LLM-Inferred Behavior Traits
safety_alignment_fairness_privacy,"Safety, Alignment, Fairness & Privacy",interpretability,Interpretability & Accountability,keyword_refinement,10,Adaptive Concept Discovery for Interpretable Few-Shot Text Classification | Faithfulness Under the Distribution: A New Look at Attribution Evaluation | Grokking in LLM Pretraining? Monitor Memorization-to-Generalization without Test | Hallucination Reduction with CASAL: Contrastive Activation Steering for Amortized Learning | Into the Rabbit Hull: From Task-Relevant Concepts in DINO to Minkowski Geometry
