state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
Wait,S,Light-X: Generative 4D Video Rendering with Camera and Illumination Control,ICLR 2026,,https://openreview.net/forum?id=VBew6vESGL,ICLR_2026_3d4d_supplement_20260612 | score=177 | reasons=3d4d_generation;dynamic_4d;explicit_4d;rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=1,
Wait,A,UniHand: A Unified Model for Diverse Controlled 4D Hand Motion Modeling,ICLR 2026,,https://openreview.net/forum?id=upUl6hMYwy,ICLR_2026_3d4d_supplement_20260612 | score=107 | reasons=dynamic_4d;explicit_4d;visual_spatial_3d | ds_review=keep | candidate_rank=23,
Wait,A,EasyCreator: Empowering 4D Creation through Video Inpainting,ICLR 2026,,https://openreview.net/forum?id=mU8Ubd8aNK,ICLR_2026_3d4d_supplement_20260612 | score=105 | reasons=3d4d_generation;dynamic_4d;explicit_4d | ds_review=keep | candidate_rank=24,
Wait,A,Mesh Splatting for End-to-end Multiview Surface Reconstruction,ICLR 2026,,https://openreview.net/forum?id=PSgps4JXTb,ICLR_2026_3d4d_supplement_20260612 | score=105 | reasons=3d_gaussian_splatting;3d_perception_geometry;reconstruction | ds_review=keep | candidate_rank=25,
Wait,A,Trace Anything: Representing Any Video in 4D via Trajectory Fields,ICLR 2026,,https://openreview.net/forum?id=BqaChqppVh,ICLR_2026_3d4d_supplement_20260612 | score=105 | reasons=3d4d_generation;dynamic_4d;explicit_4d | ds_review=keep | candidate_rank=27,
Wait,A,EA3D: Event-Augmented 3D Diffusion for Generalizable Novel View Synthesis,ICLR 2026,,https://openreview.net/forum?id=YwawhlWdtm,ICLR_2026_3d4d_supplement_20260612 | score=104 | reasons=3d4d_generation;rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=28,
Wait,A,ETGS: Explicit Thermodynamics Gaussian Splatting for Dynamic Thermal Reconstruction,ICLR 2026,,https://openreview.net/forum?id=P2Nw2LMkjH,ICLR_2026_3d4d_supplement_20260612 | score=100 | reasons=3d_gaussian_splatting;dynamic_4d;reconstruction | ds_review=keep | candidate_rank=29,
Wait,A,Learning Physics-Grounded 4D Dynamics with Neural Gaussian Force Fields,ICLR 2026,,https://openreview.net/forum?id=KxvboPqav6,ICLR_2026_3d4d_supplement_20260612 | score=98 | reasons=dynamic_4d;explicit_4d;representation | ds_review=keep | candidate_rank=32,
Wait,A,ReconViaGen: Towards Accurate Multi-view 3D Object Reconstruction via Generation,ICLR 2026,,https://openreview.net/forum?id=z0QLeooEEf,ICLR_2026_3d4d_supplement_20260612 | score=98 | reasons=3d4d_generation;reconstruction;visual_spatial_3d | ds_review=keep | candidate_rank=33,
Wait,A,SesaHand: Enhancing 3D Hand Reconstruction via Controllable Generation with Semantic and Structural Alignment,ICLR 2026,,https://openreview.net/forum?id=sKMgGQQy7g,ICLR_2026_3d4d_supplement_20260612 | score=98 | reasons=3d4d_generation;reconstruction;visual_spatial_3d | ds_review=keep | candidate_rank=34,
Wait,A,SkyEvents: A Large-Scale Event-enhanced UAV Dataset for Robust 3D Scene Reconstruction,ICLR 2026,,https://openreview.net/forum?id=dxHPqQindP,ICLR_2026_3d4d_supplement_20260612 | score=98 | reasons=3d4d_generation;reconstruction;visual_spatial_3d | ds_review=keep | candidate_rank=35,
Wait,A,A^2TG: Adaptive Anisotropic Textured Gaussians for Efficient 3D Scene Representation,ICLR 2026,,https://openreview.net/forum?id=EPN5MU4liR,ICLR_2026_3d4d_supplement_20260612 | score=91 | reasons=3d4d_generation;representation;visual_spatial_3d | ds_review=keep | candidate_rank=37,
Wait,A,EgoHandICL: Egocentric 3D Hand Reconstruction with In-Context Learning,ICLR 2026,,https://openreview.net/forum?id=nwjy9BeorI,ICLR_2026_3d4d_supplement_20260612 | score=91 | reasons=reconstruction;representation;visual_spatial_3d | ds_review=keep | candidate_rank=38,
Wait,A,PA3FF:Learning Part-Aware Dense 3D Feature Field For Generalizable Articulated Object Manipulation,ICLR 2026,,https://openreview.net/forum?id=qXfRXfAHOK,ICLR_2026_3d4d_supplement_20260612 | score=91 | reasons=3d4d_generation;representation;visual_spatial_3d | ds_review=keep | candidate_rank=39,
Wait,A,Dynamic Novel View Synthesis in High Dynamic Range,ICLR 2026,,https://openreview.net/forum?id=10iBNwPtl2,ICLR_2026_3d4d_supplement_20260612 | score=90 | reasons=dynamic_4d;rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=40,
Wait,A,ComGS: Efficient 3D Object-Scene Composition via Surface Octahedral Probes,ICLR 2026,,https://openreview.net/forum?id=yXiSPBMrTT,ICLR_2026_3d4d_supplement_20260612 | score=89 | reasons=3d4d_generation;3d_perception_geometry;visual_spatial_3d | ds_review=keep | candidate_rank=41,
Wait,A,3DGEER: 3D Gaussian Rendering Made Exact and Efficient for Generic Cameras,ICLR 2026,,https://openreview.net/forum?id=4voMNlRWI7,ICLR_2026_3d4d_supplement_20260612 | score=88 | reasons=3d_gaussian_splatting;rendering_nvs | ds_review=keep | candidate_rank=42,
Wait,A,Augmented Radiance Field: A General Framework for Enhanced Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=IzlaRUHncO,ICLR_2026_3d4d_supplement_20260612 | score=88 | reasons=3d_gaussian_splatting;rendering_nvs | ds_review=keep | candidate_rank=43,
Wait,A,Horseshoe Splatting: Handling Structural Sparsity for Uncertainty-Aware Gaussian-Splatting Radiance Field Rendering,ICLR 2026,,https://openreview.net/forum?id=NHuyk9KsG6,ICLR_2026_3d4d_supplement_20260612 | score=88 | reasons=3d_gaussian_splatting;rendering_nvs | ds_review=keep | candidate_rank=44,
Wait,A,ShapeGen4D: Towards High Quality 4D Shape Generation from Videos,ICLR 2026,,https://openreview.net/forum?id=r9AJisFLLo,ICLR_2026_3d4d_supplement_20260612 | score=87 | reasons=3d4d_generation;explicit_4d | ds_review=keep | candidate_rank=45,
Wait,A,UFO-4D: Unposed Feedforward 4D Reconstruction from Two Images,ICLR 2026,,https://openreview.net/forum?id=8gDDWqO59H,ICLR_2026_3d4d_supplement_20260612 | score=87 | reasons=explicit_4d;reconstruction | ds_review=keep | candidate_rank=46,
Wait,A,MoCa: Modeling Object Consistency for 3D Camera Control in Video Generation,ICLR 2026,,https://openreview.net/forum?id=DZcpnudp7f,ICLR_2026_3d4d_supplement_20260612 | score=84 | reasons=3d4d_generation;dynamic_4d;visual_spatial_3d | ds_review=keep | candidate_rank=47,
Wait,A,Stylos: Multi-View 3D Stylization with Single-Forward Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=Ir0HMkRpYb,ICLR_2026_3d4d_supplement_20260612 | score=84 | reasons=3d_gaussian_splatting;visual_spatial_3d | ds_review=keep | candidate_rank=49,
Wait,A,DrivingGen: A Comprehensive Benchmark for Generative Video World Models in Autonomous Driving,ICLR 2026,,https://openreview.net/forum?id=OrgL5DsU0f,ICLR_2026_3d4d_supplement_20260612 | score=82 | reasons=dynamic_4d;visual_spatial_3d;world_model | ds_review=keep | candidate_rank=52,
Wait,A,ResWorld: Temporal Residual World Model for End-to-End Autonomous Driving,ICLR 2026,,https://openreview.net/forum?id=ptGmMFGWmk,ICLR_2026_3d4d_supplement_20260612 | score=82 | reasons=dynamic_4d;visual_spatial_3d;world_model | ds_review=keep | candidate_rank=55,
Wait,A,StreamSplat: Towards Online Dynamic 3D Reconstruction from Uncalibrated Video Streams,ICLR 2026,,https://openreview.net/forum?id=SaiDRQU7Ez,ICLR_2026_3d4d_supplement_20260612 | score=82 | reasons=3d4d_generation;dynamic_4d;reconstruction | ds_review=keep | candidate_rank=57,
Wait,A,Unsupervised Representation Learning for 3D Mesh Parameterization with Semantic and Visibility Objectives,ICLR 2026,,https://openreview.net/forum?id=9LYsvna4Sk,ICLR_2026_3d4d_supplement_20260612 | score=80 | reasons=3d4d_generation;3d_perception_geometry;representation | ds_review=keep | candidate_rank=60,
Wait,A,GaussianFusion: Unified 3D Gaussian Representation for Multi-Modal Fusion Perception,ICLR 2026,,https://openreview.net/forum?id=7jXxQ9bGoU,ICLR_2026_3d4d_supplement_20260612 | score=75 | reasons=3d_gaussian_splatting;representation | ds_review=keep | candidate_rank=63,
Wait,A,Learning Unified Representation of 3D Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=NvpVtGG6hk,ICLR_2026_3d4d_supplement_20260612 | score=75 | reasons=3d_gaussian_splatting;representation | ds_review=keep | candidate_rank=64,
Wait,A,Open-Set Semantic Gaussian Splatting SLAM with Expandable Representation,ICLR 2026,,https://openreview.net/forum?id=E68dgQUzrC,ICLR_2026_3d4d_supplement_20260612 | score=75 | reasons=3d_gaussian_splatting;representation | ds_review=keep | candidate_rank=65,
Wait,B,SurfSplat: Conquering Feedforward 2D Gaussian Splatting with Surface Continuity Priors,ICLR 2026,,https://openreview.net/forum?id=o1sF4XaFdY,ICLR_2026_3d4d_supplement_20260612 | score=73 | reasons=3d_gaussian_splatting;3d_perception_geometry | ds_review=keep | candidate_rank=67,
Wait,B,Aligned Novel View Image and Geometry Synthesis via Cross-modal Attention Instillation,ICLR 2026,,https://openreview.net/forum?id=vjvwYexMQn,ICLR_2026_3d4d_supplement_20260612 | score=72 | reasons=rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=68,
Wait,B,DiffPBR: Point-Based Rendering via Spatial-Aware Residual Diffusion,ICLR 2026,,https://openreview.net/forum?id=tqOBZbW6j8,ICLR_2026_3d4d_supplement_20260612 | score=72 | reasons=rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=69,
Wait,B,"Efficient-LVSM: Faster, Cheaper, and Better Large View Synthesis Model via Decoupled Co-Refinement Attention",ICLR 2026,,https://openreview.net/forum?id=tzBPOXJ3QC,ICLR_2026_3d4d_supplement_20260612 | score=72 | reasons=rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=70,
Wait,B,MVCustom: Multi-View Customized Diffusion via Geometric Latent Rendering and Completion,ICLR 2026,,https://openreview.net/forum?id=SGsxxbAjXH,ICLR_2026_3d4d_supplement_20260612 | score=72 | reasons=rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=71,
Wait,B,Sharp Monocular View Synthesis in Less Than a Second,ICLR 2026,,https://openreview.net/forum?id=yx3g4sF70y,ICLR_2026_3d4d_supplement_20260612 | score=72 | reasons=rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=72,
Wait,B,Fracture-GS: Dynamic Fracture Simulation with Physics-Integrated Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=zcAwK50ft0,ICLR_2026_3d4d_supplement_20260612 | score=68 | reasons=3d_gaussian_splatting;dynamic_4d | ds_review=keep | candidate_rank=74,
Wait,B,Frequency-aware Dynamic Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=UZ00ac4eqA,ICLR_2026_3d4d_supplement_20260612 | score=68 | reasons=3d_gaussian_splatting;dynamic_4d | ds_review=keep | candidate_rank=75,
Wait,B,From Tokens to Nodes: Semantic-Guided Motion Control for Dynamic 3D Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=ginzNWATI1,ICLR_2026_3d4d_supplement_20260612 | score=68 | reasons=3d_gaussian_splatting;dynamic_4d | ds_review=keep | candidate_rank=76,
Wait,B,MoE-GS: Mixture of Experts for Dynamic Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=WrEQFwWCdT,ICLR_2026_3d4d_supplement_20260612 | score=68 | reasons=3d_gaussian_splatting;dynamic_4d | ds_review=keep | candidate_rank=77,
Wait,B,Disentangled Hierarchical VAE for 3D Human-Human Interaction Generation,ICLR 2026,,https://openreview.net/forum?id=53eIDko6N5,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=3d4d_generation;visual_spatial_3d | ds_review=keep | candidate_rank=80,
Wait,B,H2OFlow: Grounding Human-Object Affordances with 3D Generative Models and Dense Diffused Flows,ICLR 2026,,https://openreview.net/forum?id=QhqJ1DCp1X,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=3d4d_generation;visual_spatial_3d | ds_review=keep | candidate_rank=83,
Wait,B,Omni-View: Unlocking How Generation Facilitates Understanding in Unified 3D Model based on Multiview images,ICLR 2026,,https://openreview.net/forum?id=pDu6u9cnEB,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=3d4d_generation;visual_spatial_3d | ds_review=keep | candidate_rank=85,
Wait,B,One2Scene: Geometric Consistent Explorable 3D Scene Generation from a Single Image,ICLR 2026,,https://openreview.net/forum?id=iEelSbUsSy,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=3d4d_generation;visual_spatial_3d | ds_review=keep | candidate_rank=86,
Wait,B,PAT3D: Physics-Augmented Text-to-3D Scene Generation,ICLR 2026,,https://openreview.net/forum?id=iIRxFkeCuY,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=3d4d_generation;visual_spatial_3d | ds_review=keep | candidate_rank=87,
Wait,B,PEERING INTO THE UNKNOWN: ACTIVE VIEW SELECTION WITH NEURAL UNCERTAINTY MAPS FOR 3D RECONSTRUCTION,ICLR 2026,,https://openreview.net/forum?id=e7gbgdw05A,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=reconstruction;visual_spatial_3d | ds_review=keep | candidate_rank=88,
Wait,B,RefAny3D: 3D Asset-Referenced Diffusion Models for Image Generation,ICLR 2026,,https://openreview.net/forum?id=fUO37EVR7j,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=3d4d_generation;visual_spatial_3d | ds_review=keep | candidate_rank=90,
Wait,B,ReLi3D: Relightable Multi-view 3D Reconstruction with Disentangled Illumination,ICLR 2026,,https://openreview.net/forum?id=BlSKgQb3Vd,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=reconstruction;visual_spatial_3d | ds_review=keep | candidate_rank=91,
Wait,B,Sat3DGen: Comprehensive Street-Level 3D Scene Generation from Single Satellite Image,ICLR 2026,,https://openreview.net/forum?id=E7JzkZCofa,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=3d4d_generation;visual_spatial_3d | ds_review=keep | candidate_rank=92,
Wait,B,Scenethesis: A Language and Vision Agentic Framework for 3D Scene Generation,ICLR 2026,,https://openreview.net/forum?id=SzhezVoaNB,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=3d4d_generation;visual_spatial_3d | ds_review=keep | candidate_rank=93,
Wait,B,SceneTransporter: Optimal Transport-Guided Compositional Latent Diffusion for Single-Image Structured 3D Scene Generation,ICLR 2026,,https://openreview.net/forum?id=xjCkwPhQWq,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=3d4d_generation;visual_spatial_3d | ds_review=keep | candidate_rank=94,
Wait,B,SpatialHand: Generative Object Manipulation from 3D Prespective,ICLR 2026,,https://openreview.net/forum?id=VpsqfCac2B,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=3d4d_generation;visual_spatial_3d | ds_review=keep | candidate_rank=96,
Wait,B,UrbanGS: Efficient and Scalable Architecture for Geometrically Accurate Large-Scene Reconstruction,ICLR 2026,,https://openreview.net/forum?id=L3utaw6SD9,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=reconstruction;visual_spatial_3d | ds_review=keep | candidate_rank=97,
Wait,B,WinT3R: Window-Based Streaming Reconstruction with Camera Token Pool,ICLR 2026,,https://openreview.net/forum?id=PjviszIZf1,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=reconstruction;visual_spatial_3d | ds_review=keep | candidate_rank=98,
Wait,B,Building spatial world models from sparse transitional episodic memories,ICLR 2026,,https://openreview.net/forum?id=w3w7WVG4ks,ICLR_2026_3d4d_supplement_20260612 | score=64 | reasons=visual_spatial_3d;world_model | ds_review=keep | candidate_rank=100,
Wait,B,Ctrl-World: A Controllable Generative World Model for Robot Manipulation,ICLR 2026,,https://openreview.net/forum?id=748bHL2BAv,ICLR_2026_3d4d_supplement_20260612 | score=64 | reasons=visual_spatial_3d;world_model | ds_review=keep | candidate_rank=104,
Wait,B,DriveVLA-W0: World Models Amplify Data Scaling Law in Autonomous Driving,ICLR 2026,,https://openreview.net/forum?id=plrGn3RdzN,ICLR_2026_3d4d_supplement_20260612 | score=64 | reasons=visual_spatial_3d;world_model | ds_review=keep | candidate_rank=106,
Wait,B,Rethinking Driving World Model as Synthetic Data Generator for Perception Tasks,ICLR 2026,,https://openreview.net/forum?id=z3cFADf6zZ,ICLR_2026_3d4d_supplement_20260612 | score=64 | reasons=visual_spatial_3d;world_model | ds_review=keep | candidate_rank=118,
Wait,B,Loc$^{2}$: Interpretable Cross-View Localization via Depth-Lifted Local Feature Matching,ICLR 2026,,https://openreview.net/forum?id=2ciXKn2UlS,ICLR_2026_3d4d_supplement_20260612 | score=57 | reasons=3d_perception_geometry;visual_spatial_3d | ds_review=keep | candidate_rank=128,
Wait,B,OccDriver: Future Occupancy Guided Dual-branch Trajectory Planner in Autonomous Driving,ICLR 2026,,https://openreview.net/forum?id=abJCjkIwi5,ICLR_2026_3d4d_supplement_20260612 | score=57 | reasons=3d_perception_geometry;visual_spatial_3d | ds_review=keep | candidate_rank=129,
Wait,B,DiMeR: Disentangled Mesh Reconstruction Model with Normal-only Geometry Training,ICLR 2026,,https://openreview.net/forum?id=fK2pCgoavb,ICLR_2026_3d4d_supplement_20260612 | score=55 | reasons=3d_perception_geometry;reconstruction | ds_review=keep | candidate_rank=133,
Wait,B,Guaranteed Simply Connected Mesh Reconstruction from an Unorganized Point Cloud,ICLR 2026,,https://openreview.net/forum?id=jjEnTBsffi,ICLR_2026_3d4d_supplement_20260612 | score=55 | reasons=3d_perception_geometry;reconstruction | ds_review=keep | candidate_rank=134,
Wait,B,MAVEN: A Mesh-Aware Volumetric Encoding Network for Simulating 3D Flexible Deformation,ICLR 2026,,https://openreview.net/forum?id=XmULVr15E0,ICLR_2026_3d4d_supplement_20260612 | score=55 | reasons=3d4d_generation;3d_perception_geometry | ds_review=keep | candidate_rank=135,
Wait,B,Pose-RFT: Aligning MLLMs for 3D Pose Generation via Hybrid Action Reinforcement Fine-Tuning,ICLR 2026,,https://openreview.net/forum?id=ea1U1MgbdT,ICLR_2026_3d4d_supplement_20260612 | score=55 | reasons=3d4d_generation;3d_perception_geometry | ds_review=keep | candidate_rank=136,
Wait,B,Seek-CAD: A Self-refined Generative Modeling for 3D Parametric CAD Using Local Inference via DeepSeek,ICLR 2026,,https://openreview.net/forum?id=PzIc2TxhwN,ICLR_2026_3d4d_supplement_20260612 | score=55 | reasons=3d4d_generation;3d_perception_geometry | ds_review=keep | candidate_rank=137,
Wait,B,InfBaGel: Human-Object-Scene Interaction Generation with Dynamic Perception and Iterative Refinement,ICLR 2026,,https://openreview.net/forum?id=TeyHNq4WlI,ICLR_2026_3d4d_supplement_20260612 | score=52 | reasons=dynamic_4d;visual_spatial_3d | ds_review=keep | candidate_rank=138,
Wait,B,CLoD-GS: Continuous Level-of-Detail via 3D Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=zgs0L72R4c,ICLR_2026_3d4d_supplement_20260612 | score=50 | reasons=3d_gaussian_splatting | ds_review=keep | candidate_rank=141,
Wait,B,Distractor-free Generalizable 3D Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=G33Iemmj3Z,ICLR_2026_3d4d_supplement_20260612 | score=50 | reasons=3d_gaussian_splatting | ds_review=keep | candidate_rank=145,
Wait,B,FastGHA: Generalized Few-Shot 3D Gaussian Head Avatars with Real-Time Animation,ICLR 2026,,https://openreview.net/forum?id=E7VL9Zl1Nc,ICLR_2026_3d4d_supplement_20260612 | score=50 | reasons=3d_gaussian_splatting | ds_review=keep | candidate_rank=146,
Wait,B,FieryGS: In-the-Wild Fire Synthesis with Physics-Integrated Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=ziKFH7whvy,ICLR_2026_3d4d_supplement_20260612 | score=50 | reasons=3d_gaussian_splatting | ds_review=keep | candidate_rank=147,
Wait,B,Flash-Mono: Feed-Forward Accelerated Gaussian Splatting Monocular SLAM,ICLR 2026,,https://openreview.net/forum?id=nv3q3crc5D,ICLR_2026_3d4d_supplement_20260612 | score=50 | reasons=3d_gaussian_splatting | ds_review=keep | candidate_rank=148,
Wait,B,G4Splat: Geometry-Guided Gaussian Splatting with Generative Prior,ICLR 2026,,https://openreview.net/forum?id=kdPmsMVhZf,ICLR_2026_3d4d_supplement_20260612 | score=50 | reasons=3d_gaussian_splatting | ds_review=keep | candidate_rank=149,
Wait,B,Gradient-Direction-Aware Density Control for 3D Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=6qDxK4Gz7F,ICLR_2026_3d4d_supplement_20260612 | score=50 | reasons=3d_gaussian_splatting | ds_review=keep | candidate_rank=150,
